name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Lynch-Bages,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,349.97,99,94.66101,4.33899,1,0,0,0,1,0
Chateau Lynch-Bages,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,219.97,93,93.54996,-0.54996,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,250.00,98,93.80661,4.19339,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,189.97,90,93.29355,-3.29355,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,229.97,91,93.63542,-2.63542,1,0,0,0,1,0
Chateau Leoville Las Cases,1990,Bordeaux Red Blends,St. Julien, Bordeaux, France,304.99,96,94.27659,1.72341,1,0,0,0,1,0
Chateau Leoville Las Cases,1993,Bordeaux Red Blends,St. Julien, Bordeaux, France,79.99,90,92.35359,-2.35359,1,0,0,0,1,0
Chateau Leoville Las Cases,1995,Bordeaux Red Blends,St. Julien, Bordeaux, France,125.00,95,92.73828,2.26172,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,149.00,95,92.94340,2.05660,1,0,0,0,1,0
Chateau Mouton Rothschild (Balthus label),1993,Bordeaux Red Blends,Pauillac, Bordeaux, France,599.97,90,96.79768,-6.79768,1,0,0,0,1,0
Chateau Haut-Brion,1996,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,649.97,92,97.22501,-5.22501,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,2000,Bordeaux Red Blends,Pauillac, Bordeaux, France,339.97,96,94.57555,1.42445,1,0,0,0,1,0
Avignonesi Grifi (stained labels),1995,Tuscan Blends,Tuscany, Italy,29.99,90,91.55675,-1.55675,1,0,0,1,0,0
Clarendon Hills Liandra Syrah,1998,Syrah/Shiraz,McLaren Vale, Australia,70.49,91,92.82276,-1.82276,0,1,0,0,0,1
Clarendon Hills Hickinbotham Syrah,1998,Syrah/Shiraz,McLaren Vale, Australia,59.97,92,92.73285,-0.73285,0,1,0,0,0,1
Clarendon Hills Brookman Syrah,1998,Syrah/Shiraz,McLaren Vale, Australia,64.99,93,92.77576,0.22424,0,1,0,0,0,1
Frankland Estate Olmo's Reward (Cabernet Blend),1996,Bordeaux Red Blends,Australia,26.99,90,91.69037,-1.69037,1,0,0,0,0,1
Guigal La Mouline Cote Rotie,1996,Syrah/Shiraz,Cote Rotie, Rhone, France,249.00,95,94.55867,0.44133,0,1,0,0,1,0
Chateau Lynch-Bages,1985,Bordeaux Red Blends,Pauillac, Bordeaux, France,209.00,90,93.45619,-3.45619,1,0,0,0,1,0
Chateau Latour,1994,Bordeaux Red Blends,Pauillac, Bordeaux, France,469.79,94,95.68507,-1.68507,1,0,0,0,1,0
Chateau Latour,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,549.97,96,96.37035,-0.37035,1,0,0,0,1,0
