name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Hosanna,2000,Bordeaux Red Blends,Pomerol, Bordeaux, France,189.99,96,93.29372,2.70628,1,0,0,0,1,0
RockBare Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,15.99,88,92.35696,-4.35696,0,1,0,0,0,1
Chateau Ducru-Beaucaillou Croix de Beaucaillou,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,36.99,89,91.98608,-2.98608,1,0,0,0,1,0
Woop Woop Shiraz,2002,Syrah/Shiraz,Australia,16.99,88,92.36552,-4.36552,0,1,0,0,0,1
Charles Melton Barossa Valley Shiraz,2000,Syrah/Shiraz,Barossa Valley, Barossa, Australia,36.99,91,92.53645,-1.53645,0,1,0,0,0,1
Chateau Fombrauge,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,79.99,91,92.35359,-1.35359,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste,2000,Bordeaux Red Blends,Pauillac, Bordeaux, France,149.97,94,92.95169,1.04831,1,0,0,0,1,0
Chateau Montrose (scuffed label),2000,Bordeaux Red Blends,St. Estephe, Bordeaux, France,199.97,94,93.37902,0.62098,1,0,0,0,1,0
Chateau Pavie Macquin,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,122.99,95,92.72110,2.27890,1,0,0,0,1,0
Chateau d'Issan,2000,Bordeaux Red Blends,Margaux, Bordeaux, France,139.99,93,92.86639,0.13361,1,0,0,0,1,0
Chateau Palmer,1995,Bordeaux Red Blends,Margaux, Bordeaux, France,161.99,90,93.05442,-3.05442,1,0,0,0,1,0
Chateau Clos L'Eglise Cotes de Castillon,1999,Bordeaux Red Blends,Cotes de Castillon, Bordeaux, France,24.99,88,91.88353,-3.88353,1,0,0,0,1,0
Chateau de Reignac Cuvee Speciale,1999,Bordeaux Red Blends,Bordeaux, France,27.99,89,91.90916,-2.90916,1,0,0,0,1,0
Chateau Moulin Saint-Georges,1999,Bordeaux Red Blends,St. Emilion, Bordeaux, France,30.99,90,91.93481,-1.93481,1,0,0,0,1,0
Marquis Philips Shiraz,2002,Syrah/Shiraz,Australia,38.97,93,92.55338,0.44662,0,1,0,0,0,1
Jim Barry The Armagh Shiraz,2000,Syrah/Shiraz,Clare Valley, Australia,139.97,92,93.41658,-1.41658,0,1,0,0,0,1
Henschke Mt. Edelstone Shiraz,2000,Syrah/Shiraz,Australia,59.99,94,92.73302,1.26698,0,1,0,0,0,1
Chateau Lagrange,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,125.00,93,92.73828,0.26172,1,0,0,0,1,0
Yalumba Hand Picked Barossa Shiraz/Viognier,2000,Syrah/Shiraz,Barossa Valley, Barossa, Australia,29.99,91,92.47662,-1.47662,0,1,0,0,0,1
Chateau Bernadotte,2000,Bordeaux Red Blends,Medoc, Bordeaux, France,36.99,89,91.98608,-2.98608,1,0,0,0,1,0
Chateau Canon La Gaffeliere,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,149.99,95,92.95186,2.04814,1,0,0,0,1,0
Chateau Belle-Vue,2000,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,23.99,89,91.87498,-2.87498,1,0,0,0,1,0
Chateau Beausejour Duffau-Lagarrosse,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,109.99,92,92.60999,-0.60999,1,0,0,0,1,0
Chateau La Fleur de Bouard,2000,Bordeaux Red Blends,Pomerol, Bordeaux, France,79.99,91,92.35359,-1.35359,1,0,0,0,1,0
Chateau Les Ormes de Pez,2000,Bordeaux Red Blends,St. Estephe, Bordeaux, France,31.99,88,91.94336,-3.94336,1,0,0,0,1,0
Chateau Lanessan,2000,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,37.99,89,91.99464,-2.99464,1,0,0,0,1,0
Chateau Berliquet,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,35.99,90,91.97754,-1.97754,1,0,0,0,1,0
Chateau de Reignac Cuvee Speciale,2000,Bordeaux Red Blends,Bordeaux, France,59.97,92,92.18250,-0.18250,1,0,0,0,1,0
Gemtree Vineyards Shiraz,2000,Syrah/Shiraz,Australia,29.99,90,92.47662,-2.47662,0,1,0,0,0,1
Possums Shiraz,2001,Syrah/Shiraz,Australia,22.99,89,92.41679,-3.41679,0,1,0,0,0,1
d'Arenberg The Dead Arm Shiraz,2001,Syrah/Shiraz,McLaren Vale, Australia,79.00,98,92.89549,5.10451,0,1,0,0,0,1
Thorn-Clarke Shotfire Ridge Shiraz,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,19.99,94,92.39116,1.60884,0,1,0,0,0,1
Wolf Blass Platinum Label Shiraz,1999,Syrah/Shiraz,Australia,72.99,91,92.84413,-1.84413,0,1,0,0,0,1
Jean-Louis Chave Hermitage,1990,Syrah/Shiraz,Hermitage, Rhone, France,579.99,92,97.38753,-5.38753,0,1,0,0,1,0
Chateau Carsin Premier Cotes Bordeaux,2000,Bordeaux Red Blends,Bordeaux, France,16.99,88,91.81516,-3.81516,1,0,0,0,1,0
Chateau Garreau Cotes de Blaye,2000,Bordeaux Red Blends,Bordeaux, France,21.99,88,91.85789,-3.85789,1,0,0,0,1,0
Chateau Angelus,1999,Bordeaux Red Blends,St. Emilion, Bordeaux, France,119.99,91,92.69547,-1.69547,1,0,0,0,1,0
Chateau Barde Haut,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,69.97,91,92.26796,-1.26796,1,0,0,0,1,0
Chateau Bellevue,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,105.00,95,92.56734,2.43266,1,0,0,0,1,0
Clos St Julien,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,34.99,90,91.96899,-1.96899,1,0,0,0,1,0
Fleur de Rose St. Croix Listrac,2000,Bordeaux Red Blends,Bordeaux, France,23.99,90,91.87498,-1.87498,1,0,0,0,1,0
Chateau Cap de Faugeres,2001,Bordeaux Red Blends,Cotes de Castillon, Bordeaux, France,18.99,89,91.83224,-2.83224,1,0,0,0,1,0
Chateau Faugeres,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,109.97,90,92.60982,-2.60982,1,0,0,0,1,0
Chateau Bellefont Belcier,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,59.99,90,92.18266,-2.18266,1,0,0,0,1,0
Chateau Latour A Pomerol,2000,Bordeaux Red Blends,Pomerol, Bordeaux, France,124.99,91,92.73819,-1.73819,1,0,0,0,1,0
d'Arenberg The Laughing Magpie Shiraz Viognier,2003,Syrah/Shiraz,McLaren Vale, Australia,31.99,90,92.49371,-2.49371,0,1,0,0,0,1
Kurtz Family Vineyards Boundary Row Shiraz,2001,Syrah/Shiraz,Australia,19.99,93,92.39116,0.60884,0,1,0,0,0,1
Ross Estate Reserve Shiraz,2001,Syrah/Shiraz,Australia,26.99,93,92.45099,0.54901,0,1,0,0,0,1
Marquis Philips S9 Shiraz,2002,Syrah/Shiraz,Australia,59.99,96,92.73302,3.26698,0,1,0,0,0,1
Tait Shiraz,2001,Syrah/Shiraz,Barossa Valley, Barossa, Australia,29.99,93,92.47662,0.52338,0,1,0,0,0,1
Leeuwin Estate Art Series Shiraz,2000,Syrah/Shiraz,Margaret River, Australia,31.99,90,92.49371,-2.49371,0,1,0,0,0,1
Two Hands Angels' Share Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,19.99,90,92.39116,-2.39116,0,1,0,0,0,1
Sticks Shiraz,2001,Syrah/Shiraz,Yarra Valley, Australia,14.99,88,92.34842,-4.34842,0,1,0,0,0,1
Jim Barry The Lodge Hill Shiraz,2002,Syrah/Shiraz,Clare Valley, Australia,17.99,90,92.37406,-2.37406,0,1,0,0,0,1
Mad Fish Western Australia Shiraz,2002,Syrah/Shiraz,Australia,8.99,89,92.29714,-3.29714,0,1,0,0,0,1
Mount Langi Ghiran Billi Billi Shiraz,2001,Syrah/Shiraz,Australia,18.99,87,92.38261,-5.38261,0,1,0,0,0,1
Thorn-Clarke Terra Barossa Shiraz,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,14.99,90,92.34842,-2.34842,0,1,0,0,0,1
Chateau Potensac,2000,Bordeaux Red Blends,Medoc, Bordeaux, France,19.99,89,91.84080,-2.84080,1,0,0,0,1,0
Chateau Talbot,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,99.00,93,92.51607,0.48393,1,0,0,0,1,0
Alain Voge Cornas Vieilles Vignes,2000,Syrah/Shiraz,Cornas, Rhone, France,49.99,90,92.85780,-2.85780,0,1,0,0,1,0
Hazyblur McLaren Vale Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,31.99,92,92.49371,-0.49371,0,1,0,0,0,1
Chateau Pape Clement,2000,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,249.97,96,93.80635,2.19365,1,0,0,0,1,0
Cascabel Shiraz Fleurieu,2001,Syrah/Shiraz,Australia,24.99,90,92.43388,-2.43388,0,1,0,0,0,1
Jim Barry The Armagh Shiraz,2001,Syrah/Shiraz,Clare Valley, Australia,103.99,96,93.10907,2.89093,0,1,0,0,0,1
Jim Barry McCrae Wood Shiraz,2000,Syrah/Shiraz,Clare Valley, Australia,34.99,90,92.51936,-2.51936,0,1,0,0,0,1
Jim Barry McCrae Wood Shiraz,2001,Syrah/Shiraz,Clare Valley, Australia,35.99,91,92.52791,-1.52791,0,1,0,0,0,1
Redbank Fighting Flat Shiraz,2001,Syrah/Shiraz,Australia,18.99,85,92.38261,-7.38261,0,1,0,0,0,1
Smith & Hooper Cabernet/Merlot,2001,Bordeaux Red Blends,Australia,18.99,88,91.62199,-3.62199,1,0,0,0,0,1
Vasse Felix Heytesbury Red Blend,2000,Bordeaux Red Blends,Australia,44.99,90,91.84421,-1.84421,1,0,0,0,0,1
Shirvington Shiraz,2002,Syrah/Shiraz,Australia,199.00,99,93.92109,5.07891,0,1,0,0,0,1
Tait The Ball Buster,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,17.99,92,92.37406,-0.37406,0,1,0,0,0,1
Henry's Drive Shiraz,2002,Syrah/Shiraz,Australia,38.99,93,92.55354,0.44646,0,1,0,0,0,1
Hazyblur Baroota Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,39.99,93,92.56209,0.43791,0,1,0,0,0,1
Brothers in Arms Langhorne Creek Shiraz,2001,Syrah/Shiraz,Australia,28.99,91,92.46808,-1.46808,0,1,0,0,0,1
Kay Brothers Block 6 Shiraz,2001,Syrah/Shiraz,McLaren Vale, Australia,109.97,98,93.16019,4.83981,0,1,0,0,0,1
Kay Brothers Shiraz,2001,Syrah/Shiraz,McLaren Vale, Australia,12.99,92,92.33133,-0.33133,0,1,0,0,0,1
Oliverhill Jimmy Section Shiraz,2002,Syrah/Shiraz,Australia,33.99,94,92.51080,1.48920,0,1,0,0,0,1
Chateau Langoa Barton,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,89.97,91,92.43889,-1.43889,1,0,0,0,1,0
Greenock Creek Alices Shiraz,2001,Syrah/Shiraz,Barossa Valley, Barossa, Australia,99.99,98,93.07489,4.92511,0,1,0,0,0,1
Greenock Creek Roennfeldt Road Shiraz,1998,Syrah/Shiraz,Barossa Valley, Barossa, Australia,259.99,100,94.44235,5.55765,0,1,0,0,0,1
Greenock Creek Seven Acres Shiraz,2001,Syrah/Shiraz,Barossa Valley, Barossa, Australia,69.99,98,92.81848,5.18152,0,1,0,0,0,1
Greenock Creek Apricot Block Shiraz,2001,Syrah/Shiraz,Barossa Valley, Barossa, Australia,189.00,99,93.83562,5.16438,0,1,0,0,0,1
Jaboulet Hermitage La Chapelle,2001,Syrah/Shiraz,Hermitage, Rhone, France,139.00,92,93.61855,-1.61855,0,1,0,0,1,0
Conti Costanti Calbello Ardingo,2000,Bordeaux Red Blends,Tuscany, Italy,40.99,93,91.65076,1.34924,1,0,0,1,0,0
Chateau de Reignac Cuvee Speciale,2001,Bordeaux Red Blends,Bordeaux, France,57.99,90,92.16557,-2.16557,1,0,0,0,1,0
Chris Ringland Shiraz,1998,Syrah/Shiraz,Barossa Valley, Barossa, Australia,399.99,99,95.63889,3.36111,0,1,0,0,0,1
Longwood Reserve Shiraz,2002,Syrah/Shiraz,Australia,34.99,93,92.51936,0.48064,0,1,0,0,0,1
Ross Estate North Ridge Shiraz,2001,Syrah/Shiraz,Australia,15.99,90,92.35696,-2.35696,0,1,0,0,0,1
Chateau Leoville Las Cases,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,409.97,98,95.17381,2.82619,1,0,0,0,1,0
Marquis Philips Integrity,2002,Syrah/Shiraz,Australia,219.97,99,94.10031,4.89969,0,1,0,0,0,1
Randall's Hill Barossa Shiraz,1997,Syrah/Shiraz,Barossa Valley, Barossa, Australia,199.99,96,93.92955,2.07045,0,1,0,0,0,1
Mazzei Fonterutoli Siepi,2001,Tuscan Blends,Tuscany, Italy,63.99,93,91.84734,1.15266,1,0,0,1,0,0
Kay Brothers Hillside Shiraz,2001,Syrah/Shiraz,McLaren Vale, Australia,49.99,93,92.64755,0.35245,0,1,0,0,0,1
Frankland Estate Isolation Ridge Shiraz,2001,Syrah/Shiraz,Australia,32.99,90,92.50226,-2.50226,0,1,0,0,0,1
Kilikanoon Killerman's Run Shiraz,2001,Syrah/Shiraz,Australia,15.49,90,92.35269,-2.35269,0,1,0,0,0,1
Charles Melton Barossa Valley Shiraz,2001,Syrah/Shiraz,Barossa Valley, Barossa, Australia,19.99,91,92.39116,-1.39116,0,1,0,0,0,1
Tim Adams Aberfeldy Shiraz,2001,Syrah/Shiraz,Australia,19.99,90,92.39116,-2.39116,0,1,0,0,0,1
Kangarilla Road Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,16.99,93,92.36552,0.63448,0,1,0,0,0,1
Clarendon Hills Brookman Syrah,2002,Syrah/Shiraz,McLaren Vale, Australia,62.99,96,92.75867,3.24133,0,1,0,0,0,1
Falesco Syrah,2002,Syrah/Shiraz,Italy,20.99,87,92.24043,-5.24043,0,1,0,1,0,0
Chateau Clos L'Eglise Cotes de Castillon,2001,Bordeaux Red Blends,Cotes de Castillon, Bordeaux, France,33.99,91,91.96045,-0.96045,1,0,0,0,1,0
Chateau Faizeau Montagne St. Emilion Vieilles Vignes,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,23.99,90,91.87498,-1.87498,1,0,0,0,1,0
Avignonesi Desiderio,2000,Bordeaux Red Blends,Tuscany, Italy,49.99,92,91.72768,0.27232,1,0,0,1,0,0
Chateau Ducru-Beaucaillou,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,239.97,95,93.72089,1.27911,1,0,0,0,1,0
Vieux Chateau Certan,2001,Bordeaux Red Blends,Pomerol, Bordeaux, France,219.97,93,93.54996,-0.54996,1,0,0,0,1,0
Chateau Monbousquet,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,79.97,91,92.35342,-1.35342,1,0,0,0,1,0
Howard Park Scotsdale Shiraz,2001,Syrah/Shiraz,Australia,17.99,91,92.37406,-1.37406,0,1,0,0,0,1
Sticks Pinot Noir,2003,Pinot Noir,Yarra Valley, Australia,19.49,88,90.65416,-2.65416,0,0,1,0,0,1
Falesco Marciliano,2001,Bordeaux Red Blends,Italy,47.99,95,91.71059,3.28941,1,0,0,1,0,0
Frescobaldi Nipozzano Mormoreto,2000,Bordeaux Red Blends,Tuscany, Italy,42.99,91,91.66785,-0.66785,1,0,0,1,0,0
Jean-Luc Colombo Cornas La Louvee,2001,Syrah/Shiraz,Cornas, Rhone, France,64.99,94,92.98601,1.01399,0,1,0,0,1,0
Penfolds Grange,1999,Syrah/Shiraz,Australia,399.00,95,95.63042,-0.63042,0,1,0,0,0,1
Mount Langi Ghiran Cliff Edge Shiraz,2000,Syrah/Shiraz,Australia,19.99,89,92.39116,-3.39116,0,1,0,0,0,1
Two Hands Angels' Share Shiraz,2003,Syrah/Shiraz,McLaren Vale, Australia,19.99,91,92.39116,-1.39116,0,1,0,0,0,1
d'Arenberg The Dead Arm Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,69.99,92,92.81848,-0.81848,0,1,0,0,0,1
Marquis Philips S9 Shiraz,2003,Syrah/Shiraz,Australia,49.99,93,92.64755,0.35245,0,1,0,0,0,1
Chateau Gazin (stained label),2001,Bordeaux Red Blends,Pomerol, Bordeaux, France,95.00,94,92.48188,1.51812,1,0,0,0,1,0
Chateau Les Grandes Murailles,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,49.99,93,92.09720,0.90280,1,0,0,0,1,0
Dom. de Vallouit Les Roziers Cote Rotie,1998,Syrah/Shiraz,Cote Rotie, Rhone, France,29.99,91,92.68687,-1.68687,0,1,0,0,1,0
Paringa Shiraz,2003,Syrah/Shiraz,Australia,10.29,87,92.30826,-5.30826,0,1,0,0,0,1
Chateau Duhart-Milon,2001,Bordeaux Red Blends,Pauillac, Bordeaux, France,99.99,89,92.52453,-3.52453,1,0,0,0,1,0
Turkey Flat Shiraz,2001,Syrah/Shiraz,Australia,31.99,93,92.49371,0.50629,0,1,0,0,0,1
Yalumba Hand Picked Barossa Shiraz/Viognier,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,29.99,93,92.47662,0.52338,0,1,0,0,0,1
Chateau Pavie,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,329.97,96,94.49008,1.50992,1,0,0,0,1,0
Chateau Pavie,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,299.97,95,94.23369,0.76631,1,0,0,0,1,0
Chateau Pavie Decesse,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,159.97,95,93.03716,1.96284,1,0,0,0,1,0
Chateau Pavie Decesse,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,259.97,91,93.89182,-2.89182,1,0,0,0,1,0
Ornellaia,2001,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,309.00,95,93.94135,1.05865,1,0,0,1,0,0
Innocent Bystander Shiraz Viognier,2003,Syrah/Shiraz,Yarra Valley, Australia,18.29,87,92.37663,-5.37663,0,1,0,0,0,1
Kay Brothers Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,19.99,92,92.39116,-0.39116,0,1,0,0,0,1
Tenuta Sette Ponti Oreno,2001,Bordeaux Red Blends,Tuscany, Italy,129.00,95,92.40295,2.59705,1,0,0,1,0,0
Antinori Solaia,2001,Tuscan Blends,Tuscany, Italy,299.97,96,93.86417,2.13583,1,0,0,1,0,0
Chateau Palmer,2001,Bordeaux Red Blends,Margaux, Bordeaux, France,249.97,93,93.80635,-0.80635,1,0,0,0,1,0
Chateau Haut-Brion,1988,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,459.00,92,95.59286,-3.59286,1,0,0,0,1,0
Chateau Haut-Brion,1995,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,569.97,96,96.54128,-0.54128,1,0,0,0,1,0
Chateau Montrose,1985,Bordeaux Red Blends,St. Estephe, Bordeaux, France,117.99,90,92.67837,-2.67837,1,0,0,0,1,0
Chateau Mouton Rothschild,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,599.97,95,96.79768,-1.79768,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,319.97,93,94.40462,-1.40462,1,0,0,0,1,0
Paracombe Shiraz,2001,Syrah/Shiraz,Australia,37.99,89,92.54500,-3.54500,0,1,0,0,0,1
Henry's Drive Shiraz,2003,Syrah/Shiraz,Australia,41.99,94,92.57918,1.42082,0,1,0,0,0,1
Henry's Drive Reserve Shiraz,2003,Syrah/Shiraz,Australia,39.99,95,92.56209,2.43791,0,1,0,0,0,1
Two Hands Lily's Garden Shiraz,2003,Syrah/Shiraz,McLaren Vale, Australia,59.99,95,92.73302,2.26698,0,1,0,0,0,1
Chateau Pichon-Longueville Baron,2001,Bordeaux Red Blends,Pauillac, Bordeaux, France,149.00,93,92.94340,0.05660,1,0,0,0,1,0
The Colonial Estate Exile Shiraz,2002,Syrah/Shiraz,Australia,189.99,98,93.84409,4.15591,0,1,0,0,0,1
The Colonial Estate Explorateur Shiraz,2003,Syrah/Shiraz,Australia,27.99,91,92.45953,-1.45953,0,1,0,0,0,1
Killibinbin Shiraz,2002,Syrah/Shiraz,Australia,19.99,91,92.39116,-1.39116,0,1,0,0,0,1
Two Way Range Shiraz,2002,Syrah/Shiraz,Australia,46.73,94,92.61969,1.38031,0,1,0,0,0,1
Wild Duck Creek Springflat Shiraz,2002,Syrah/Shiraz,Australia,55.99,91,92.69884,-1.69884,0,1,0,0,0,1
Kalleske Greenock Shiraz,2003,Syrah/Shiraz,Barossa Valley, Barossa, Australia,105.00,100,93.11771,6.88229,0,1,0,0,0,1
Glaymond The Distance Shiraz,2002,Syrah/Shiraz,Australia,32.99,92,92.50226,-0.50226,0,1,0,0,0,1
Chateau Lafite Rothschild,2001,Bordeaux Red Blends,Pauillac, Bordeaux, France,999.97,96,100.21634,-4.21634,1,0,0,0,1,0
Chateau Cos d'Estournel,2001,Bordeaux Red Blends,St. Estephe, Bordeaux, France,209.97,94,93.46449,0.53551,1,0,0,0,1,0
Torbreck The Struie,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,54.99,95,92.69029,2.30971,0,1,0,0,0,1
Torbreck The Factor Shiraz (scuffed label),2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,129.00,99,93.32283,5.67717,0,1,0,0,0,1
Mitolo G.A.M.,2003,Syrah/Shiraz,Australia,99.97,100,93.07472,6.92528,0,1,0,0,0,1
Tatiarra Cambrian Shiraz,2003,Syrah/Shiraz,Australia,43.99,93,92.59628,0.40372,0,1,0,0,0,1
Mr. Riggs Shiraz,2003,Syrah/Shiraz,Australia,49.99,92,92.64755,-0.64755,0,1,0,0,0,1
Torbreck Woodcutters Shiraz,2003,Syrah/Shiraz,Barossa Valley, Barossa, Australia,19.99,92,92.39116,-0.39116,0,1,0,0,0,1
Chateau de Reignac Cuvee Speciale,2002,Bordeaux Red Blends,Bordeaux, France,34.99,91,91.96899,-0.96899,1,0,0,0,1,0
Greenock Creek Alices Shiraz,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,64.99,96,92.77576,3.22424,0,1,0,0,0,1
Greenock Creek Apricot Block Shiraz,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,78.99,96,92.89540,3.10460,0,1,0,0,0,1
Greenock Creek Roennfeldt Road Shiraz,1999,Syrah/Shiraz,Barossa Valley, Barossa, Australia,299.99,98,94.78421,3.21579,0,1,0,0,0,1
Kay Brothers Hillside Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,54.97,95,92.69012,2.30988,0,1,0,0,0,1
Gibson Shiraz,2002,Syrah/Shiraz,Australia,49.99,95,92.64755,2.35245,0,1,0,0,0,1
Old Plains Adelaide Plains Shiraz,2003,Syrah/Shiraz,Australia,39.99,93,92.56209,0.43791,0,1,0,0,0,1
Clarendon Hills Astralis Syrah,2003,Syrah/Shiraz,McLaren Vale, Australia,199.00,99,93.92109,5.07891,0,1,0,0,0,1
Clarendon Hills Brookman Syrah,2003,Syrah/Shiraz,McLaren Vale, Australia,89.00,96,92.98096,3.01904,0,1,0,0,0,1
Clarendon Hills Hickinbotham Syrah,2003,Syrah/Shiraz,McLaren Vale, Australia,62.99,96,92.75867,3.24133,0,1,0,0,0,1
Clarendon Hills Liandra Syrah,2003,Syrah/Shiraz,McLaren Vale, Australia,49.99,95,92.64755,2.35245,0,1,0,0,0,1
Clarendon Hills Moritz Syrah,2003,Syrah/Shiraz,McLaren Vale, Australia,120.99,95,93.25436,1.74564,0,1,0,0,0,1
Taylors Wines Pressings Shiraz,2003,Syrah/Shiraz,Australia,69.99,96,92.81848,3.18152,0,1,0,0,0,1
Tatiarra Pressings Shiraz,2003,Syrah/Shiraz,Australia,69.99,96,92.81848,3.18152,0,1,0,0,0,1
Chateau Haut-Brion,2001,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,469.97,94,95.68661,-1.68661,1,0,0,0,1,0
Chateau Margaux,2001,Bordeaux Red Blends,Margaux, Bordeaux, France,649.97,94,97.22501,-3.22501,1,0,0,0,1,0
Chateau Potensac,2001,Bordeaux Red Blends,Medoc, Bordeaux, France,24.99,87,91.88353,-4.88353,1,0,0,0,1,0
Paracombe Shiraz Sommerville,2001,Syrah/Shiraz,Australia,77.99,95,92.88686,2.11314,0,1,0,0,0,1
Shingleback Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,19.99,90,92.39116,-2.39116,0,1,0,0,0,1
Marquis Philips Integrity,2003,Syrah/Shiraz,Australia,114.99,94,93.20309,0.79691,0,1,0,0,0,1
Chateau Greysac,2000,Bordeaux Red Blends,Medoc, Bordeaux, France,19.99,87,91.84080,-4.84080,1,0,0,0,1,0
Chateau d'Armailhac,2001,Bordeaux Red Blends,Pauillac, Bordeaux, France,62.99,89,92.20830,-3.20830,1,0,0,0,1,0
Kangarilla Road Shiraz,2003,Syrah/Shiraz,McLaren Vale, Australia,19.99,90,92.39116,-2.39116,0,1,0,0,0,1
Mitolo The Jester Shiraz,2002,Syrah/Shiraz,Australia,19.99,90,92.39116,-2.39116,0,1,0,0,0,1
Mas des Aveylans Syrah,2003,Syrah/Shiraz,France,15.99,90,92.56721,-2.56721,0,1,0,0,1,0
Antinori Tignanello,2001,Tuscan Blends,Tuscany, Italy,169.97,93,92.75311,0.24689,1,0,0,1,0,0
Rene Rostaing Cote-Rotie Classique,2001,Syrah/Shiraz,Cote Rotie, Rhone, France,64.99,91,92.98601,-1.98601,0,1,0,0,1,0
Georges Roumier Bonnes Mares Grand Cru,2002,Pinot Noir,Burgundy, France,139.99,97,91.89428,5.10572,0,0,1,0,1,0
Nepenthe Pinot Noir,2002,Pinot Noir,Australia,17.99,87,90.64134,-3.64134,0,0,1,0,0,1
Penfolds Bin 128 Coonawarra Shiraz,2002,Syrah/Shiraz,Coonawarra, Limestone Coast, Australia,19.99,87,92.39116,-5.39116,0,1,0,0,0,1
Georges Roumier Bonnes Mares Grand Cru,2000,Pinot Noir,Burgundy, France,489.97,91,94.88544,-3.88544,0,0,1,0,1,0
RockBare Shiraz,2003,Syrah/Shiraz,McLaren Vale, Australia,13.49,89,92.33560,-3.33560,0,1,0,0,0,1
Louis Jadot Vosne Romanee Les Suchots,1999,Pinot Noir,Burgundy, France,49.99,90,91.12508,-1.12508,0,0,1,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,2002,Bordeaux Red Blends,Pauillac, Bordeaux, France,159.97,94,93.03716,0.96284,1,0,0,0,1,0
Ross Estate Estate Shiraz,2002,Syrah/Shiraz,Australia,23.99,91,92.42534,-1.42534,0,1,0,0,0,1
Barnadown Run Shiraz,2002,Syrah/Shiraz,Australia,29.99,92,92.47662,-0.47662,0,1,0,0,0,1
Koonowla Shiraz,2002,Syrah/Shiraz,Australia,13.99,91,92.33987,-1.33987,0,1,0,0,0,1
Steve Hoff Shiraz,2002,Syrah/Shiraz,Australia,15.99,90,92.35696,-2.35696,0,1,0,0,0,1
Craneford Alysson Parsons Shiraz,2003,Syrah/Shiraz,Australia,9.99,89,92.30569,-3.30569,0,1,0,0,0,1
Penfolds RWT Shiraz,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,74.99,93,92.86122,0.13878,0,1,0,0,0,1
Shoofly Shiraz,2004,Syrah/Shiraz,Australia,11.79,88,92.32108,-4.32108,0,1,0,0,0,1
d'Arenberg The Dead Arm Shiraz (half-bottle),2002,Syrah/Shiraz,McLaren Vale, Australia,32.99,92,92.50226,-0.50226,0,1,0,0,0,1
