name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Smith Haut Lafitte,2003,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,119.97,93,93.70100,-0.70100,1,0,0,0,1,0
Chateau Palmer,2003,Bordeaux Red Blends,Margaux, Bordeaux, France,219.00,91,94.22379,-3.22379,1,0,0,0,1,0
Chateau Calon-Segur,2004,Bordeaux Red Blends,St. Estephe, Bordeaux, France,89.00,91,93.55458,-2.55458,1,0,0,0,1,0
Chateau La Mission Haut-Brion (slightly stained label),2003,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,239.99,94,94.33459,-0.33459,1,0,0,0,1,0
Chateau Latour,2004,Bordeaux Red Blends,Pauillac, Bordeaux, France,669.97,93,96.62154,-3.62154,1,0,0,0,1,0
Chateau Giscours,2004,Bordeaux Red Blends,Margaux, Bordeaux, France,59.99,91,93.40144,-2.40144,1,0,0,0,1,0
Chateau Leoville Las Cases,2005,Bordeaux Red Blends,St. Julien, Bordeaux, France,349.99,99,94.94942,4.05058,1,0,0,0,1,0
Chateau Cos d'Estournel,2005,Bordeaux Red Blends,St. Estephe, Bordeaux, France,279.99,99,94.57990,4.42010,1,0,0,0,1,0
Chateau Mouton Rothschild,2005,Bordeaux Red Blends,Pauillac, Bordeaux, France,799.99,98,97.32498,0.67502,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,2005,Bordeaux Red Blends,Pauillac, Bordeaux, France,179.97,93,94.05189,-1.05189,1,0,0,0,1,0
Chateau Palmer,2005,Bordeaux Red Blends,Margaux, Bordeaux, France,399.97,94,95.21327,-1.21327,1,0,0,0,1,0
Chateau Cheval Blanc,2005,Bordeaux Red Blends,St. Emilion, Bordeaux, France,869.97,98,97.69441,0.30559,1,0,0,0,1,0
Chateau Lynch-Bages,2005,Bordeaux Red Blends,Pauillac, Bordeaux, France,269.99,96,94.52711,1.47289,1,0,0,0,1,0
Chateau Haut-Brion,2005,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,879.97,99,97.74721,1.25279,1,0,0,0,1,0
Chateau Branaire-Ducru,2003,Bordeaux Red Blends,St. Julien, Bordeaux, France,169.97,94,93.96495,0.03505,1,0,0,0,1,0
Chateau Calon-Segur,2005,Bordeaux Red Blends,St. Estephe, Bordeaux, France,139.97,93,93.84073,-0.84073,1,0,0,0,1,0
Chateau Giscours,2005,Bordeaux Red Blends,Margaux, Bordeaux, France,109.00,95,93.67723,1.32277,1,0,0,0,1,0
Chateau La Mission Haut-Brion,2005,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,819.99,99,97.43056,1.56944,1,0,0,0,1,0
Chateau Montrose,2003,Bordeaux Red Blends,St. Estephe, Bordeaux, France,259.97,97,94.44006,2.55994,1,0,0,0,1,0
Chateau Montrose,2005,Bordeaux Red Blends,St. Estephe, Bordeaux, France,199.99,96,94.15758,1.84242,1,0,0,0,1,0
Chateau Smith Haut Lafitte,2005,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,159.99,95,93.94641,1.05359,1,0,0,0,1,0
Chateau Smith Haut Lafitte,2000,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,229.97,90,94.23048,-4.23048,1,0,0,0,1,0
Tenuta Guado al Tasso,2006,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,99.97,95,93.19872,1.80128,1,0,0,1,0,0
Chateau Ducru-Beaucaillou,2005,Bordeaux Red Blends,St. Julien, Bordeaux, France,279.99,95,94.57990,0.42010,1,0,0,0,1,0
Tenuta Guado al Tasso,2005,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,95.00,92,93.15541,-1.15541,1,0,0,1,0,0
Chateau Rauzan-Segla,2005,Bordeaux Red Blends,Margaux, Bordeaux, France,159.00,98,93.94118,4.05882,1,0,0,0,1,0
Chateau Mouton Rothschild,2006,Bordeaux Red Blends,Pauillac, Bordeaux, France,599.97,95,96.28615,-1.28615,1,0,0,0,1,0
Penfolds Grange,2004,Syrah/Shiraz,Australia,499.00,97,95.47546,1.52454,0,1,0,0,0,1
Chateau Pontet-Canet,2006,Bordeaux Red Blends,Pauillac, Bordeaux, France,139.97,93,93.85780,-0.85780,1,0,0,0,1,0
Chateau Rauzan-Segla,2005,Bordeaux Red Blends,Margaux, Bordeaux, France,135.00,98,93.81449,4.18551,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste,2005,Bordeaux Red Blends,Pauillac, Bordeaux, France,159.99,97,93.94641,3.05359,1,0,0,0,1,0
Domaine de Chevalier,2005,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,139.99,94,93.84084,0.15916,1,0,0,0,1,0
Chateau Fombrauge,2005,Bordeaux Red Blends,St. Emilion, Bordeaux, France,54.99,94,93.39211,0.60789,1,0,0,0,1,0
Chateau La Gaffeliere,2004,Bordeaux Red Blends,St. Emilion, Bordeaux, France,42.98,92,93.31164,-1.31164,1,0,0,0,1,0
Chateau La Gaffeliere,2005,Bordeaux Red Blends,St. Emilion, Bordeaux, France,144.97,95,93.86713,1.13287,1,0,0,0,1,0
Clos du Marquis,2005,Bordeaux Red Blends,St. Julien, Bordeaux, France,89.99,92,93.57688,-1.57688,1,0,0,0,1,0
Chateau Cos d'Estournel,2006,Bordeaux Red Blends,St. Estephe, Bordeaux, France,159.99,92,93.96349,-1.96349,1,0,0,0,1,0
Domaine de Chevalier (Futures Pre-Sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,89.99,97,93.64517,3.35483,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,139.97,93,93.89194,-0.89194,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande (Futures Pre-Sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,189.99,96,94.17307,1.82693,1,0,0,0,1,0
Chateau Pavie,2008,Bordeaux Red Blends,St. Emilion, Bordeaux, France,299.97,95,94.73659,0.26341,1,0,0,0,1,0
Chateau Pavie (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,289.00,97,94.69575,2.30425,1,0,0,0,1,0
Chateau Pape Clement,2008,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,139.97,91,93.89194,-2.89194,1,0,0,0,1,0
Chateau Pape Clement (Futures Pre-Sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,149.99,94,93.96191,0.03809,1,0,0,0,1,0
Chateau Palmer,2008,Bordeaux Red Blends,Margaux, Bordeaux, France,219.00,93,94.30914,-1.30914,1,0,0,0,1,0
Chateau Montrose,2008,Bordeaux Red Blends,St. Estephe, Bordeaux, France,129.97,94,93.83916,0.16084,1,0,0,0,1,0
Chateau La Mission Haut-Brion,2008,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,279.99,93,94.63111,-1.63111,1,0,0,0,1,0
Chateau Haut-Brion,2008,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,519.97,94,95.89797,-1.89797,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste (Futures Pre-Sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,79.99,95,93.59238,1.40762,1,0,0,0,1,0
Chateau de Fieuzal,2008,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,49.99,90,93.41694,-3.41694,1,0,0,0,1,0
Chateau de Fieuzal (Futures Pre-sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,44.99,94,93.40761,0.59239,1,0,0,0,1,0
Chateau Cheval Blanc Le Petit Cheval (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,159.00,94,94.00948,-0.00948,1,0,0,0,1,0
Chateau Canon La Gaffeliere,2008,Bordeaux Red Blends,St. Emilion, Bordeaux, France,99.99,91,93.68089,-2.68089,1,0,0,0,1,0
Chateau Canon La Gaffeliere (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,94.99,97,93.67156,3.32844,1,0,0,0,1,0
Chateau Angelus (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,329.00,97,94.90691,2.09309,1,0,0,0,1,0
Chateau Lynch-Bages,2006,Bordeaux Red Blends,Pauillac, Bordeaux, France,179.97,92,94.06895,-2.06895,1,0,0,0,1,0
Chateau Lynch-Bages (Futures Pre-Sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,134.99,97,93.88272,3.11728,1,0,0,0,1,0
Chateau Leoville Poyferre,2008,Bordeaux Red Blends,St. Julien, Bordeaux, France,99.00,93,93.67566,-0.67566,1,0,0,0,1,0
Chateau Leoville Poyferre (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Julien, Bordeaux, France,149.99,96,93.96191,2.03809,1,0,0,0,1,0
Chateau Leoville Las Cases,2008,Bordeaux Red Blends,St. Julien, Bordeaux, France,219.99,95,94.31437,0.68563,1,0,0,0,1,0
Chateau Leoville Las Cases (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Julien, Bordeaux, France,379.00,99,95.17086,3.82914,1,0,0,0,1,0
Chateau Leoville Barton,2005,Bordeaux Red Blends,St. Julien, Bordeaux, France,176.99,96,94.03616,1.96384,1,0,0,0,1,0
Chateau Leoville Barton,2008,Bordeaux Red Blends,St. Julien, Bordeaux, France,104.97,93,93.70718,-0.70718,1,0,0,0,1,0
Chateau Leoville Barton (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Julien, Bordeaux, France,99.99,96,93.69796,2.30204,1,0,0,0,1,0
Les Forts de Latour,2005,Bordeaux Red Blends,Pauillac, Bordeaux, France,239.99,94,94.36874,-0.36874,1,0,0,0,1,0
Les Forts de Latour,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,189.99,92,94.15600,-2.15600,1,0,0,0,1,0
Chateau Latour,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,629.99,95,96.47877,-1.47877,1,0,0,0,1,0
Carruades de Lafite,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,155.00,91,93.97128,-2.97128,1,0,0,0,1,0
Carruades de Lafite (Futures Pre-Sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,259.00,95,94.53738,0.46262,1,0,0,0,1,0
Chateau Lafite Rothschild,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,989.97,95,98.37911,-3.37911,1,0,0,0,1,0
Chateau Hosanna (Futures Pre-sale),2009,Bordeaux Red Blends,Pomerol, Bordeaux, France,229.00,98,94.37901,3.62099,1,0,0,0,1,0
Chateau Haut-Bailly,2008,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,159.97,92,93.99752,-1.99752,1,0,0,0,1,0
Chateau Haut-Bailly (Futures Pre-Sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,129.99,97,93.85633,3.14367,1,0,0,0,1,0
Chateau Duhart-Milon,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,89.97,92,93.62799,-1.62799,1,0,0,0,1,0
Chateau Duhart-Milon (Futures Pre-sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,79.99,95,93.59238,1.40762,1,0,0,0,1,0
Chateau Cos d'Estournel,2008,Bordeaux Red Blends,St. Estephe, Bordeaux, France,167.99,93,94.03986,-1.03986,1,0,0,0,1,0
Chateau Cos d'Estournel (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Estephe, Bordeaux, France,429.00,100,95.43481,4.56519,1,0,0,0,1,0
Chateau Clinet (Futures Pre-Sale),2009,Bordeaux Red Blends,Pomerol, Bordeaux, France,149.99,96,93.96191,2.03809,1,0,0,0,1,0
Chateau Calon-Segur,2008,Bordeaux Red Blends,St. Estephe, Bordeaux, France,129.99,93,93.83926,-0.83926,1,0,0,0,1,0
Chateau Lascombes (Futures Pre-Sale),2009,Bordeaux Red Blends,Margaux, Bordeaux, France,84.99,94,93.61877,0.38123,1,0,0,0,1,0
Chateau Gloria (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Julien, Bordeaux, France,39.99,94,93.38122,0.61878,1,0,0,0,1,0
Chateau Cantenac Brown,2009,Bordeaux Red Blends,Margaux, Bordeaux, France,99.00,93,93.69273,-0.69273,1,0,0,0,1,0
Chateau Canon,2005,Bordeaux Red Blends,St. Emilion, Bordeaux, France,139.00,94,93.83560,0.16440,1,0,0,0,1,0
Chateau Canon (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,144.99,96,93.93552,2.06448,1,0,0,0,1,0
Chateau Sociando-Mallet  (Futures Pre-Sale),2009,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,54.99,94,93.46040,0.53960,1,0,0,0,1,0
Chateau Smith Haut Lafitte (Futures Pre-Sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,124.99,96,93.82993,2.17007,1,0,0,0,1,0
Chateau Saint-Pierre (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Julien, Bordeaux, France,74.99,93,93.56598,-0.56598,1,0,0,0,1,0
Chateau Quinault l'Enclos (Futures Pre-sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,34.99,93,93.35482,-0.35482,1,0,0,0,1,0
Chateau Pontet-Canet,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,139.99,93,93.89204,-0.89204,1,0,0,0,1,0
Chateau Pontet-Canet (Futures Pre-Sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,149.79,98,93.96085,4.03915,1,0,0,0,1,0
Chateau Malartic-Lagraviere (Futures Pre-Sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,74.99,93,93.56598,-0.56598,1,0,0,0,1,0
Chateau LaTour-Martillac,2005,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,85.00,93,93.55054,-0.55054,1,0,0,0,1,0
Chateau Chauvin (Futures Pre-sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,42.99,91,93.39706,-2.39706,1,0,0,0,1,0
Ornellaia (slightly scuffed label),2007,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,249.97,98,94.00764,3.99236,1,0,0,1,0,0
Chateau Brane-Cantenac (Futures Pre-Sale),2009,Bordeaux Red Blends,Margaux, Bordeaux, France,74.49,93,93.56334,-0.56334,1,0,0,0,1,0
Chateau Olivier (Futures Pre-Sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,31.79,92,93.33793,-1.33793,1,0,0,0,1,0
Chateau Rauzan-Segla,2006,Bordeaux Red Blends,Margaux, Bordeaux, France,89.99,92,93.59395,-1.59395,1,0,0,0,1,0
Chateau Rauzan-Segla (Futures Pre-Sale),2009,Bordeaux Red Blends,Margaux, Bordeaux, France,94.99,97,93.67156,3.32844,1,0,0,0,1,0
Chateau Prieure-Lichine (Futures Pre-sale),2009,Bordeaux Red Blends,Margaux, Bordeaux, France,49.99,94,93.43401,0.56599,1,0,0,0,1,0
Chateau Potensac (Futures Pre-sale),2009,Bordeaux Red Blends,Medoc, Bordeaux, France,32.99,92,93.34426,-1.34426,1,0,0,0,1,0
Chateau Phelan Segur (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Estephe, Bordeaux, France,49.99,93,93.43401,-0.43401,1,0,0,0,1,0
Chateau Nenin,2005,Bordeaux Red Blends,Pomerol, Bordeaux, France,57.99,96,93.40795,2.59205,1,0,0,0,1,0
Chateau Nenin (Futures Pre-Sale),2009,Bordeaux Red Blends,Pomerol, Bordeaux, France,79.99,94,93.59238,0.40762,1,0,0,0,1,0
Chateau Meyney (Futures Pre-sale),2009,Bordeaux Red Blends,St. Estephe, Bordeaux, France,38.99,93,93.37594,-0.37594,1,0,0,0,1,0
Chateau L'Eglise Clinet,2008,Bordeaux Red Blends,Pomerol, Bordeaux, France,259.99,94,94.52553,-0.52553,1,0,0,0,1,0
Chateau Lagrange (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Julien, Bordeaux, France,64.99,94,93.51319,0.48681,1,0,0,0,1,0
Chateau La Gaffeliere,2008,Bordeaux Red Blends,St. Emilion, Bordeaux, France,57.00,93,93.45394,-0.45394,1,0,0,0,1,0
Chateau Haut-Batailley (Futures Pre-sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,44.99,93,93.40761,-0.40761,1,0,0,0,1,0
