name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
RockBare Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,15.99,88,92.56026,-4.56026,0,1,0,0,0,1
Chateau Ducru-Beaucaillou Croix de Beaucaillou,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,36.99,89,92.38148,-3.38148,1,0,0,0,1,0
Woop Woop Shiraz,2002,Syrah/Shiraz,Australia,16.99,88,92.56643,-4.56643,0,1,0,0,0,1
Charles Melton Barossa Valley Shiraz,2000,Syrah/Shiraz,Barossa Valley, Barossa, Australia,36.99,91,92.65613,-1.65613,0,1,0,0,0,1
Chateau Fombrauge,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,79.99,91,92.64705,-1.64705,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste,2000,Bordeaux Red Blends,Pauillac, Bordeaux, France,149.97,94,93.07924,0.92076,1,0,0,0,1,0
Chateau Montrose (scuffed label),2000,Bordeaux Red Blends,St. Estephe, Bordeaux, France,199.97,94,93.38803,0.61197,1,0,0,0,1,0
Chateau Pavie Macquin,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,122.99,95,92.91261,2.08739,1,0,0,0,1,0
Chateau d'Issan,2000,Bordeaux Red Blends,Margaux, Bordeaux, France,139.99,93,93.01761,-0.01761,1,0,0,0,1,0
Chateau Palmer,1995,Bordeaux Red Blends,Margaux, Bordeaux, France,161.99,90,93.06891,-3.06891,1,0,0,0,1,0
Chateau Clos L'Eglise Cotes de Castillon,1999,Bordeaux Red Blends,Cotes de Castillon, Bordeaux, France,24.99,88,92.29046,-4.29046,1,0,0,0,1,0
Chateau de Reignac Cuvee Speciale,1999,Bordeaux Red Blends,Bordeaux, France,27.99,89,92.30899,-3.30899,1,0,0,0,1,0
Chateau Moulin Saint-Georges,1999,Bordeaux Red Blends,St. Emilion, Bordeaux, France,30.99,90,92.32751,-2.32751,1,0,0,0,1,0
Marquis Philips Shiraz,2002,Syrah/Shiraz,Australia,38.97,93,92.70218,0.29782,0,1,0,0,0,1
Jim Barry The Armagh Shiraz,2000,Syrah/Shiraz,Clare Valley, Australia,139.97,92,93.29213,-1.29213,0,1,0,0,0,1
Henschke Mt. Edelstone Shiraz,2000,Syrah/Shiraz,Australia,59.99,94,92.79817,1.20183,0,1,0,0,0,1
Chateau Lagrange,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,125.00,93,92.92503,0.07497,1,0,0,0,1,0
Yalumba Hand Picked Barossa Shiraz/Viognier,2000,Syrah/Shiraz,Barossa Valley, Barossa, Australia,29.99,91,92.61290,-1.61290,0,1,0,0,0,1
Chateau Bernadotte,2000,Bordeaux Red Blends,Medoc, Bordeaux, France,36.99,89,92.38148,-3.38148,1,0,0,0,1,0
Chateau Canon La Gaffeliere,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,149.99,95,93.07936,1.92064,1,0,0,0,1,0
Chateau Belle-Vue,2000,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,23.99,89,92.30119,-3.30119,1,0,0,0,1,0
Chateau Beausejour Duffau-Lagarrosse,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,109.99,92,92.83232,-0.83232,1,0,0,0,1,0
Chateau La Fleur de Bouard,2000,Bordeaux Red Blends,Pomerol, Bordeaux, France,79.99,91,92.64705,-1.64705,1,0,0,0,1,0
Chateau Les Ormes de Pez,2000,Bordeaux Red Blends,St. Estephe, Bordeaux, France,31.99,88,92.35060,-4.35060,1,0,0,0,1,0
Chateau Lanessan,2000,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,37.99,89,92.38766,-3.38766,1,0,0,0,1,0
Chateau Berliquet,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,35.99,90,92.37531,-2.37531,1,0,0,0,1,0
Chateau de Reignac Cuvee Speciale,2000,Bordeaux Red Blends,Bordeaux, France,59.97,92,92.52341,-0.52341,1,0,0,0,1,0
Gemtree Vineyards Shiraz,2000,Syrah/Shiraz,Australia,29.99,90,92.61290,-2.61290,0,1,0,0,0,1
Possums Shiraz,2001,Syrah/Shiraz,Australia,22.99,89,92.58658,-3.58658,0,1,0,0,0,1
d'Arenberg The Dead Arm Shiraz,2001,Syrah/Shiraz,McLaren Vale, Australia,79.00,98,92.93249,5.06751,0,1,0,0,0,1
Thorn-Clarke Shotfire Ridge Shiraz,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,19.99,94,92.58496,1.41504,0,1,0,0,0,1
Wolf Blass Platinum Label Shiraz,1999,Syrah/Shiraz,Australia,72.99,91,92.86154,-1.86154,0,1,0,0,0,1
Jean-Louis Chave Hermitage,1990,Syrah/Shiraz,Hermitage, Rhone, France,579.99,92,96.39459,-4.39459,0,1,0,0,1,0
Chateau Carsin Premier Cotes Bordeaux,2000,Bordeaux Red Blends,Bordeaux, France,16.99,88,92.25797,-4.25797,1,0,0,0,1,0
Chateau Garreau Cotes de Blaye,2000,Bordeaux Red Blends,Bordeaux, France,21.99,88,92.28885,-4.28885,1,0,0,0,1,0
Chateau Angelus,1999,Bordeaux Red Blends,St. Emilion, Bordeaux, France,119.99,91,92.87717,-1.87717,1,0,0,0,1,0
Chateau Barde Haut,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,69.97,91,92.58517,-1.58517,1,0,0,0,1,0
Chateau Bellevue,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,105.00,95,92.80151,2.19849,1,0,0,0,1,0
Clos St Julien,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,34.99,90,92.36913,-2.36913,1,0,0,0,1,0
Fleur de Rose St. Croix Listrac,2000,Bordeaux Red Blends,Bordeaux, France,23.99,90,92.30119,-2.30119,1,0,0,0,1,0
Chateau Cap de Faugeres,2001,Bordeaux Red Blends,Cotes de Castillon, Bordeaux, France,18.99,89,92.28723,-3.28723,1,0,0,0,1,0
Chateau Faugeres,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,109.97,90,92.84911,-2.84911,1,0,0,0,1,0
Chateau Bellefont Belcier,2000,Bordeaux Red Blends,St. Emilion, Bordeaux, France,59.99,90,92.52353,-2.52353,1,0,0,0,1,0
Chateau Latour A Pomerol,2000,Bordeaux Red Blends,Pomerol, Bordeaux, France,124.99,91,92.92496,-1.92496,1,0,0,0,1,0
d'Arenberg The Laughing Magpie Shiraz Viognier,2003,Syrah/Shiraz,McLaren Vale, Australia,31.99,90,92.67598,-2.67598,0,1,0,0,0,1
Kurtz Family Vineyards Boundary Row Shiraz,2001,Syrah/Shiraz,Australia,19.99,93,92.56805,0.43195,0,1,0,0,0,1
Ross Estate Reserve Shiraz,2001,Syrah/Shiraz,Australia,26.99,93,92.61128,0.38872,0,1,0,0,0,1
Marquis Philips S9 Shiraz,2002,Syrah/Shiraz,Australia,59.99,96,92.83199,3.16801,0,1,0,0,0,1
Tait Shiraz,2001,Syrah/Shiraz,Barossa Valley, Barossa, Australia,29.99,93,92.62981,0.37019,0,1,0,0,0,1
Leeuwin Estate Art Series Shiraz,2000,Syrah/Shiraz,Margaret River, Australia,31.99,90,92.62524,-2.62524,0,1,0,0,0,1
Two Hands Angels' Share Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,19.99,90,92.58496,-2.58496,0,1,0,0,0,1
Sticks Shiraz,2001,Syrah/Shiraz,Yarra Valley, Australia,14.99,88,92.53717,-4.53717,0,1,0,0,0,1
Jim Barry The Lodge Hill Shiraz,2002,Syrah/Shiraz,Clare Valley, Australia,17.99,90,92.57260,-2.57260,0,1,0,0,0,1
Mad Fish Western Australia Shiraz,2002,Syrah/Shiraz,Australia,8.99,89,92.51702,-3.51702,0,1,0,0,0,1
Mount Langi Ghiran Billi Billi Shiraz,2001,Syrah/Shiraz,Australia,18.99,87,92.56187,-5.56187,0,1,0,0,0,1
Thorn-Clarke Terra Barossa Shiraz,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,14.99,90,92.55408,-2.55408,0,1,0,0,0,1
Chateau Potensac,2000,Bordeaux Red Blends,Medoc, Bordeaux, France,19.99,89,92.27649,-3.27649,1,0,0,0,1,0
Chateau Talbot,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,99.00,93,92.76445,0.23555,1,0,0,0,1,0
Alain Voge Cornas Vieilles Vignes,2000,Syrah/Shiraz,Cornas, Rhone, France,49.99,90,93.29047,-3.29047,0,1,0,0,1,0
Hazyblur McLaren Vale Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,31.99,92,92.65907,-0.65907,0,1,0,0,0,1
Chateau Pape Clement,2000,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,249.97,96,93.69684,2.30316,1,0,0,0,1,0
Cascabel Shiraz Fleurieu,2001,Syrah/Shiraz,Australia,24.99,90,92.59892,-2.59892,0,1,0,0,0,1
Jim Barry The Armagh Shiraz,2001,Syrah/Shiraz,Clare Valley, Australia,103.99,96,93.08682,2.91318,0,1,0,0,0,1
Jim Barry McCrae Wood Shiraz,2000,Syrah/Shiraz,Clare Valley, Australia,34.99,90,92.64378,-2.64378,0,1,0,0,0,1
Jim Barry McCrae Wood Shiraz,2001,Syrah/Shiraz,Clare Valley, Australia,35.99,91,92.66686,-1.66686,0,1,0,0,0,1
Redbank Fighting Flat Shiraz,2001,Syrah/Shiraz,Australia,18.99,85,92.56187,-7.56187,0,1,0,0,0,1
Smith & Hooper Cabernet/Merlot,2001,Bordeaux Red Blends,Australia,18.99,88,91.73317,-3.73317,1,0,0,0,0,1
Vasse Felix Heytesbury Red Blend,2000,Bordeaux Red Blends,Australia,44.99,90,91.87683,-1.87683,1,0,0,0,0,1
Shirvington Shiraz,2002,Syrah/Shiraz,Australia,199.00,99,93.69051,5.30949,0,1,0,0,0,1
Tait The Ball Buster,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,17.99,92,92.57260,-0.57260,0,1,0,0,0,1
Henry's Drive Shiraz,2002,Syrah/Shiraz,Australia,38.99,93,92.70230,0.29770,0,1,0,0,0,1
Hazyblur Baroota Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,39.99,93,92.70848,0.29152,0,1,0,0,0,1
Brothers in Arms Langhorne Creek Shiraz,2001,Syrah/Shiraz,Australia,28.99,91,92.62363,-1.62363,0,1,0,0,0,1
Kay Brothers Block 6 Shiraz,2001,Syrah/Shiraz,McLaren Vale, Australia,109.97,98,93.12376,4.87624,0,1,0,0,0,1
Kay Brothers Shiraz,2001,Syrah/Shiraz,McLaren Vale, Australia,12.99,92,92.52481,-0.52481,0,1,0,0,0,1
Oliverhill Jimmy Section Shiraz,2002,Syrah/Shiraz,Australia,33.99,94,92.67142,1.32858,0,1,0,0,0,1
Chateau Langoa Barton,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,89.97,91,92.70868,-1.70868,1,0,0,0,1,0
Greenock Creek Alices Shiraz,2001,Syrah/Shiraz,Barossa Valley, Barossa, Australia,99.99,98,93.06212,4.93788,0,1,0,0,0,1
Greenock Creek Roennfeldt Road Shiraz,1998,Syrah/Shiraz,Barossa Valley, Barossa, Australia,259.99,100,93.99953,6.00047,0,1,0,0,0,1
Greenock Creek Seven Acres Shiraz,2001,Syrah/Shiraz,Barossa Valley, Barossa, Australia,69.99,98,92.87685,5.12315,0,1,0,0,0,1
Greenock Creek Apricot Block Shiraz,2001,Syrah/Shiraz,Barossa Valley, Barossa, Australia,189.00,99,93.61184,5.38816,0,1,0,0,0,1
Jaboulet Hermitage La Chapelle,2001,Syrah/Shiraz,Hermitage, Rhone, France,139.00,92,93.85710,-1.85710,0,1,0,0,1,0
Conti Costanti Calbello Ardingo,2000,Bordeaux Red Blends,Tuscany, Italy,40.99,93,90.13637,2.86363,1,0,0,1,0,0
Chateau de Reignac Cuvee Speciale,2001,Bordeaux Red Blends,Bordeaux, France,57.99,90,92.52809,-2.52809,1,0,0,0,1,0
Chris Ringland Shiraz,1998,Syrah/Shiraz,Barossa Valley, Barossa, Australia,399.99,99,94.86417,4.13583,0,1,0,0,0,1
Longwood Reserve Shiraz,2002,Syrah/Shiraz,Australia,34.99,93,92.67760,0.32240,0,1,0,0,0,1
Ross Estate North Ridge Shiraz,2001,Syrah/Shiraz,Australia,15.99,90,92.54334,-2.54334,0,1,0,0,0,1
Chateau Leoville Las Cases,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,409.97,98,94.68498,3.31502,1,0,0,0,1,0
Marquis Philips Integrity,2002,Syrah/Shiraz,Australia,219.97,99,93.82002,5.17998,0,1,0,0,0,1
Randall's Hill Barossa Shiraz,1997,Syrah/Shiraz,Barossa Valley, Barossa, Australia,199.99,96,93.61206,2.38794,0,1,0,0,0,1
Mazzei Fonterutoli Siepi,2001,Tuscan Blends,Tuscany, Italy,63.99,93,90.29532,2.70468,1,0,0,1,0,0
Kay Brothers Hillside Shiraz,2001,Syrah/Shiraz,McLaren Vale, Australia,49.99,93,92.75333,0.24667,0,1,0,0,0,1
Frankland Estate Isolation Ridge Shiraz,2001,Syrah/Shiraz,Australia,32.99,90,92.64833,-2.64833,0,1,0,0,0,1
Kilikanoon Killerman's Run Shiraz,2001,Syrah/Shiraz,Australia,15.49,90,92.54025,-2.54025,0,1,0,0,0,1
Charles Melton Barossa Valley Shiraz,2001,Syrah/Shiraz,Barossa Valley, Barossa, Australia,19.99,91,92.56805,-1.56805,0,1,0,0,0,1
Tim Adams Aberfeldy Shiraz,2001,Syrah/Shiraz,Australia,19.99,90,92.56805,-2.56805,0,1,0,0,0,1
Kangarilla Road Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,16.99,93,92.56643,0.43357,0,1,0,0,0,1
Clarendon Hills Brookman Syrah,2002,Syrah/Shiraz,McLaren Vale, Australia,62.99,96,92.85052,3.14948,0,1,0,0,0,1
Falesco Syrah,2002,Syrah/Shiraz,Italy,20.99,87,90.87537,-3.87537,0,1,0,1,0,0
Chateau Clos L'Eglise Cotes de Castillon,2001,Bordeaux Red Blends,Cotes de Castillon, Bordeaux, France,33.99,91,92.37987,-1.37987,1,0,0,0,1,0
Chateau Faizeau Montagne St. Emilion Vieilles Vignes,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,23.99,90,92.31811,-2.31811,1,0,0,0,1,0
Avignonesi Desiderio,2000,Bordeaux Red Blends,Tuscany, Italy,49.99,92,90.19196,1.80804,1,0,0,1,0,0
Chateau Ducru-Beaucaillou,2000,Bordeaux Red Blends,St. Julien, Bordeaux, France,239.97,95,93.63507,1.36493,1,0,0,0,1,0
Vieux Chateau Certan,2001,Bordeaux Red Blends,Pomerol, Bordeaux, France,219.97,93,93.52847,-0.52847,1,0,0,0,1,0
Chateau Monbousquet,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,79.97,91,92.66383,-1.66383,1,0,0,0,1,0
Howard Park Scotsdale Shiraz,2001,Syrah/Shiraz,Australia,17.99,91,92.55569,-1.55569,0,1,0,0,0,1
Sticks Pinot Noir,2003,Pinot Noir,Yarra Valley, Australia,19.49,88,90.01768,-2.01768,0,0,1,0,0,1
Falesco Marciliano,2001,Bordeaux Red Blends,Italy,47.99,95,90.19651,4.80349,1,0,0,1,0,0
Frescobaldi Nipozzano Mormoreto,2000,Bordeaux Red Blends,Tuscany, Italy,42.99,91,90.14872,0.85128,1,0,0,1,0,0
Jean-Luc Colombo Cornas La Louvee,2001,Syrah/Shiraz,Cornas, Rhone, France,64.99,94,93.40002,0.59998,0,1,0,0,1,0
Penfolds Grange,1999,Syrah/Shiraz,Australia,399.00,95,94.87496,0.12504,0,1,0,0,0,1
Mount Langi Ghiran Cliff Edge Shiraz,2000,Syrah/Shiraz,Australia,19.99,89,92.55113,-3.55113,0,1,0,0,0,1
Two Hands Angels' Share Shiraz,2003,Syrah/Shiraz,McLaren Vale, Australia,19.99,91,92.60187,-1.60187,0,1,0,0,0,1
d'Arenberg The Dead Arm Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,69.99,92,92.89375,-0.89375,0,1,0,0,0,1
Marquis Philips S9 Shiraz,2003,Syrah/Shiraz,Australia,49.99,93,92.78716,0.21284,0,1,0,0,0,1
Chateau Gazin (stained label),2001,Bordeaux Red Blends,Pomerol, Bordeaux, France,95.00,94,92.75666,1.24334,1,0,0,0,1,0
Chateau Les Grandes Murailles,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,49.99,93,92.47868,0.52132,1,0,0,0,1,0
Dom. de Vallouit Les Roziers Cote Rotie,1998,Syrah/Shiraz,Cote Rotie, Rhone, France,29.99,91,93.13313,-2.13313,0,1,0,0,1,0
Paringa Shiraz,2003,Syrah/Shiraz,Australia,10.29,87,92.54196,-5.54196,0,1,0,0,0,1
Chateau Duhart-Milon,2001,Bordeaux Red Blends,Pauillac, Bordeaux, France,99.99,89,92.78748,-3.78748,1,0,0,0,1,0
Turkey Flat Shiraz,2001,Syrah/Shiraz,Australia,31.99,93,92.64216,0.35784,0,1,0,0,0,1
Yalumba Hand Picked Barossa Shiraz/Viognier,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,29.99,93,92.64671,0.35329,0,1,0,0,0,1
Chateau Pavie,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,329.97,96,94.20782,1.79218,1,0,0,0,1,0
Chateau Pavie,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,299.97,95,93.97180,1.02820,1,0,0,0,1,0
Chateau Pavie Decesse,2001,Bordeaux Red Blends,St. Emilion, Bordeaux, France,159.97,95,93.15791,1.84209,1,0,0,0,1,0
Chateau Pavie Decesse,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,259.97,91,93.72476,-2.72476,1,0,0,0,1,0
Ornellaia,2001,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,309.00,95,91.80849,3.19151,1,0,0,1,0,0
Innocent Bystander Shiraz Viognier,2003,Syrah/Shiraz,Yarra Valley, Australia,18.29,87,92.59137,-5.59137,0,1,0,0,0,1
Kay Brothers Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,19.99,92,92.58496,-0.58496,0,1,0,0,0,1
Tenuta Sette Ponti Oreno,2001,Bordeaux Red Blends,Tuscany, Italy,129.00,95,90.69682,4.30318,1,0,0,1,0,0
Antinori Solaia,2001,Tuscan Blends,Tuscany, Italy,299.97,96,91.75272,4.24728,1,0,0,1,0,0
Chateau Palmer,2001,Bordeaux Red Blends,Margaux, Bordeaux, France,249.97,93,93.71375,-0.71375,1,0,0,0,1,0
Chateau Haut-Brion,1988,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,459.00,92,94.78484,-2.78484,1,0,0,0,1,0
Chateau Haut-Brion,1995,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,569.97,96,95.58856,0.41144,1,0,0,0,1,0
Chateau Montrose,1985,Bordeaux Red Blends,St. Estephe, Bordeaux, France,117.99,90,92.62805,-2.62805,1,0,0,0,1,0
Chateau Mouton Rothschild,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,599.97,95,95.77385,-0.77385,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1989,Bordeaux Red Blends,Pauillac, Bordeaux, France,319.97,93,93.94312,-0.94312,1,0,0,0,1,0
Paracombe Shiraz,2001,Syrah/Shiraz,Australia,37.99,89,92.67921,-3.67921,0,1,0,0,0,1
Henry's Drive Shiraz,2003,Syrah/Shiraz,Australia,41.99,94,92.73775,1.26225,0,1,0,0,0,1
Henry's Drive Reserve Shiraz,2003,Syrah/Shiraz,Australia,39.99,95,92.72539,2.27461,0,1,0,0,0,1
Two Hands Lily's Garden Shiraz,2003,Syrah/Shiraz,McLaren Vale, Australia,59.99,95,92.84891,2.15109,0,1,0,0,0,1
Chateau Pichon-Longueville Baron,2001,Bordeaux Red Blends,Pauillac, Bordeaux, France,149.00,93,93.09016,-0.09016,1,0,0,0,1,0
The Colonial Estate Exile Shiraz,2002,Syrah/Shiraz,Australia,189.99,98,93.63486,4.36514,0,1,0,0,0,1
The Colonial Estate Explorateur Shiraz,2003,Syrah/Shiraz,Australia,27.99,91,92.65128,-1.65128,0,1,0,0,0,1
Killibinbin Shiraz,2002,Syrah/Shiraz,Australia,19.99,91,92.58496,-1.58496,0,1,0,0,0,1
Two Way Range Shiraz,2002,Syrah/Shiraz,Australia,46.73,94,92.75011,1.24989,0,1,0,0,0,1
Wild Duck Creek Springflat Shiraz,2002,Syrah/Shiraz,Australia,55.99,91,92.80729,-1.80729,0,1,0,0,0,1
Kalleske Greenock Shiraz,2003,Syrah/Shiraz,Barossa Valley, Barossa, Australia,105.00,100,93.12689,6.87311,0,1,0,0,0,1
Glaymond The Distance Shiraz,2002,Syrah/Shiraz,Australia,32.99,92,92.66525,-0.66525,0,1,0,0,0,1
Chateau Lafite Rothschild,2001,Bordeaux Red Blends,Pauillac, Bordeaux, France,999.97,96,98.34569,-2.34569,1,0,0,0,1,0
Chateau Cos d'Estournel,2001,Bordeaux Red Blends,St. Estephe, Bordeaux, France,209.97,94,93.46671,0.53329,1,0,0,0,1,0
Torbreck The Struie,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,54.99,95,92.80112,2.19888,0,1,0,0,0,1
Torbreck The Factor Shiraz (scuffed label),2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,129.00,99,93.25819,5.74181,0,1,0,0,0,1
Mitolo G.A.M.,2003,Syrah/Shiraz,Australia,99.97,100,93.09583,6.90417,0,1,0,0,0,1
Tatiarra Cambrian Shiraz,2003,Syrah/Shiraz,Australia,43.99,93,92.75009,0.24991,0,1,0,0,0,1
Mr. Riggs Shiraz,2003,Syrah/Shiraz,Australia,49.99,92,92.78716,-0.78716,0,1,0,0,0,1
Torbreck Woodcutters Shiraz,2003,Syrah/Shiraz,Barossa Valley, Barossa, Australia,19.99,92,92.60187,-0.60187,0,1,0,0,0,1
Chateau de Reignac Cuvee Speciale,2002,Bordeaux Red Blends,Bordeaux, France,34.99,91,92.40295,-1.40295,1,0,0,0,1,0
Greenock Creek Alices Shiraz,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,64.99,96,92.86287,3.13713,0,1,0,0,0,1
Greenock Creek Apricot Block Shiraz,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,78.99,96,92.94934,3.05066,0,1,0,0,0,1
Greenock Creek Roennfeldt Road Shiraz,1999,Syrah/Shiraz,Barossa Valley, Barossa, Australia,299.99,98,94.26348,3.73652,0,1,0,0,0,1
Kay Brothers Hillside Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,54.97,95,92.80099,2.19901,0,1,0,0,0,1
Gibson Shiraz,2002,Syrah/Shiraz,Australia,49.99,95,92.77023,2.22977,0,1,0,0,0,1
Old Plains Adelaide Plains Shiraz,2003,Syrah/Shiraz,Australia,39.99,93,92.72539,0.27461,0,1,0,0,0,1
Clarendon Hills Astralis Syrah,2003,Syrah/Shiraz,McLaren Vale, Australia,199.00,99,93.70743,5.29257,0,1,0,0,0,1
Clarendon Hills Brookman Syrah,2003,Syrah/Shiraz,McLaren Vale, Australia,89.00,96,93.02808,2.97192,0,1,0,0,0,1
Clarendon Hills Hickinbotham Syrah,2003,Syrah/Shiraz,McLaren Vale, Australia,62.99,96,92.86743,3.13257,0,1,0,0,0,1
Clarendon Hills Liandra Syrah,2003,Syrah/Shiraz,McLaren Vale, Australia,49.99,95,92.78716,2.21284,0,1,0,0,0,1
Clarendon Hills Moritz Syrah,2003,Syrah/Shiraz,McLaren Vale, Australia,120.99,95,93.22564,1.77436,0,1,0,0,0,1
Taylors Wines Pressings Shiraz,2003,Syrah/Shiraz,Australia,69.99,96,92.91067,3.08933,0,1,0,0,0,1
Tatiarra Pressings Shiraz,2003,Syrah/Shiraz,Australia,69.99,96,92.91067,3.08933,0,1,0,0,0,1
Chateau Haut-Brion,2001,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,469.97,94,95.07245,-1.07245,1,0,0,0,1,0
Chateau Margaux,2001,Bordeaux Red Blends,Margaux, Bordeaux, France,649.97,94,96.18411,-2.18411,1,0,0,0,1,0
Chateau Potensac,2001,Bordeaux Red Blends,Medoc, Bordeaux, France,24.99,87,92.32428,-5.32428,1,0,0,0,1,0
Paracombe Shiraz Sommerville,2001,Syrah/Shiraz,Australia,77.99,95,92.92625,2.07375,0,1,0,0,0,1
Shingleback Shiraz,2002,Syrah/Shiraz,McLaren Vale, Australia,19.99,90,92.58496,-2.58496,0,1,0,0,0,1
Marquis Philips Integrity,2003,Syrah/Shiraz,Australia,114.99,94,93.18858,0.81142,0,1,0,0,0,1
Chateau Greysac,2000,Bordeaux Red Blends,Medoc, Bordeaux, France,19.99,87,92.27649,-5.27649,1,0,0,0,1,0
Chateau d'Armailhac,2001,Bordeaux Red Blends,Pauillac, Bordeaux, France,62.99,89,92.55897,-3.55897,1,0,0,0,1,0
Kangarilla Road Shiraz,2003,Syrah/Shiraz,McLaren Vale, Australia,19.99,90,92.60187,-2.60187,0,1,0,0,0,1
Mitolo The Jester Shiraz,2002,Syrah/Shiraz,Australia,19.99,90,92.58496,-2.58496,0,1,0,0,0,1
Mas des Aveylans Syrah,2003,Syrah/Shiraz,France,15.99,90,93.13123,-3.13123,0,1,0,0,1,0
Antinori Tignanello,2001,Tuscan Blends,Tuscany, Italy,169.97,93,90.94984,2.05016,1,0,0,1,0,0
Rene Rostaing Cote-Rotie Classique,2001,Syrah/Shiraz,Cote Rotie, Rhone, France,64.99,91,93.40002,-2.40002,0,1,0,0,1,0
Georges Roumier Bonnes Mares Grand Cru,2002,Pinot Noir,Burgundy, France,139.99,97,91.29903,5.70097,0,0,1,0,1,0
Nepenthe Pinot Noir,2002,Pinot Noir,Australia,17.99,87,89.99150,-2.99150,0,0,1,0,0,1
Penfolds Bin 128 Coonawarra Shiraz,2002,Syrah/Shiraz,Coonawarra, Limestone Coast, Australia,19.99,87,92.58496,-5.58496,0,1,0,0,0,1
Georges Roumier Bonnes Mares Grand Cru,2000,Pinot Noir,Burgundy, France,489.97,91,93.42666,-2.42666,0,0,1,0,1,0
RockBare Shiraz,2003,Syrah/Shiraz,McLaren Vale, Australia,13.49,89,92.56172,-3.56172,0,1,0,0,0,1
Louis Jadot Vosne Romanee Les Suchots,1999,Pinot Noir,Burgundy, France,49.99,90,90.69246,-0.69246,0,0,1,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,2002,Bordeaux Red Blends,Pauillac, Bordeaux, France,159.97,94,93.17482,0.82518,1,0,0,0,1,0
Ross Estate Estate Shiraz,2002,Syrah/Shiraz,Australia,23.99,91,92.60966,-1.60966,0,1,0,0,0,1
Barnadown Run Shiraz,2002,Syrah/Shiraz,Australia,29.99,92,92.64671,-0.64671,0,1,0,0,0,1
Koonowla Shiraz,2002,Syrah/Shiraz,Australia,13.99,91,92.54790,-1.54790,0,1,0,0,0,1
Steve Hoff Shiraz,2002,Syrah/Shiraz,Australia,15.99,90,92.56026,-2.56026,0,1,0,0,0,1
Craneford Alysson Parsons Shiraz,2003,Syrah/Shiraz,Australia,9.99,89,92.54012,-3.54012,0,1,0,0,0,1
Penfolds RWT Shiraz,2002,Syrah/Shiraz,Barossa Valley, Barossa, Australia,74.99,93,92.92464,0.07536,0,1,0,0,0,1
Shoofly Shiraz,2004,Syrah/Shiraz,Australia,11.79,88,92.56814,-4.56814,0,1,0,0,0,1
d'Arenberg The Dead Arm Shiraz (half-bottle),2002,Syrah/Shiraz,McLaren Vale, Australia,32.99,92,92.66525,-0.66525,0,1,0,0,0,1
Jean-Luc Colombo Cornas Les Terres Brulees,2001,Syrah/Shiraz,Cornas, Rhone, France,59.99,91,93.36914,-2.36914,0,1,0,0,1,0
