name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Lynch-Bages,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,349.97,99,94.14530,4.85470,1,0,0,0,1,0
Chateau Lynch-Bages,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,219.97,93,93.44391,-0.44391,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1990,Bordeaux Red Blends,Pauillac, Bordeaux, France,250.00,98,93.52789,4.47211,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,189.97,90,93.24171,-3.24171,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,229.97,91,93.50566,-2.50566,1,0,0,0,1,0
Chateau Leoville Las Cases,1990,Bordeaux Red Blends,St. Julien, Bordeaux, France,304.99,96,93.86751,2.13249,1,0,0,0,1,0
Chateau Leoville Las Cases,1993,Bordeaux Red Blends,St. Julien, Bordeaux, France,79.99,90,92.52866,-2.52866,1,0,0,0,1,0
Chateau Leoville Las Cases,1995,Bordeaux Red Blends,St. Julien, Bordeaux, France,125.00,95,92.84047,2.15953,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,149.00,95,92.98869,2.01131,1,0,0,0,1,0
Chateau Mouton Rothschild (Balthus label),1993,Bordeaux Red Blends,Pauillac, Bordeaux, France,599.97,90,95.74002,-5.74002,1,0,0,0,1,0
Chateau Haut-Brion,1996,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,649.97,92,96.09956,-4.09956,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,2000,Bordeaux Red Blends,Pauillac, Bordeaux, France,339.97,96,94.25267,1.74733,1,0,0,0,1,0
Avignonesi Grifi (stained labels),1995,Tuscan Blends,Tuscany, Italy,29.99,90,89.98387,0.01613,1,0,0,1,0,0
Clarendon Hills Liandra Syrah,1998,Syrah/Shiraz,McLaren Vale, Australia,70.49,91,92.82919,-1.82919,0,1,0,0,0,1
Clarendon Hills Hickinbotham Syrah,1998,Syrah/Shiraz,McLaren Vale, Australia,59.97,92,92.76422,-0.76422,0,1,0,0,0,1
Clarendon Hills Brookman Syrah,1998,Syrah/Shiraz,McLaren Vale, Australia,64.99,93,92.79523,0.20477,0,1,0,0,0,1
Frankland Estate Olmo's Reward (Cabernet Blend),1996,Bordeaux Red Blends,Australia,26.99,90,91.69801,-1.69801,1,0,0,0,0,1
Guigal La Mouline Cote Rotie,1996,Syrah/Shiraz,Cote Rotie, Rhone, France,249.00,95,94.45189,0.54811,0,1,0,0,1,0
Chateau Lynch-Bages,1985,Bordeaux Red Blends,Pauillac, Bordeaux, France,209.00,90,93.19012,-3.19012,1,0,0,0,1,0
Chateau Latour,1994,Bordeaux Red Blends,Pauillac, Bordeaux, France,469.79,94,94.95296,-0.95296,1,0,0,0,1,0
Chateau Latour,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,549.97,96,95.46504,0.53496,1,0,0,0,1,0
Chateau Margaux,1994,Bordeaux Red Blends,Margaux, Bordeaux, France,419.00,91,94.63928,-3.63928,1,0,0,0,1,0
Chateau Sociando-Mallet,1995,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,69.99,90,92.50072,-2.50072,1,0,0,0,1,0
Kilikanoon Oracle Shiraz,1998,Syrah/Shiraz,Clare Valley, Australia,89.97,92,92.94951,-0.94951,0,1,0,0,0,1
Chateau Clerc Milon,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,124.97,90,92.85719,-2.85719,1,0,0,0,1,0
Chateau Mouton Rothschild,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,349.00,95,94.22388,0.77612,1,0,0,0,1,0
Chateau Duhart-Milon,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,104.99,90,92.73380,-2.73380,1,0,0,0,1,0
Domaine Robert Groffier Pere & Fils Chambolle Musigny Les Amoureuses Premier Cru,1998,Pinot Noir,Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France,439.00,93,93.07805,-0.07805,0,0,1,0,1,0
Tenuta Guado al Tasso,1997,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,129.00,94,90.62917,3.37083,1,0,0,1,0,0
Peter Lehmann Eight Songs Shiraz,1996,Syrah/Shiraz,Barossa Valley, Barossa, Australia,53.99,93,92.69347,0.30653,0,1,0,0,0,1
Peter Lehmann Shiraz,1998,Syrah/Shiraz,Barossa Valley, Barossa, Australia,17.49,90,92.50188,-2.50188,0,1,0,0,0,1
Chateau Leoville Barton,1995,Bordeaux Red Blends,St. Julien, Bordeaux, France,129.00,95,92.86517,2.13483,1,0,0,0,1,0
Chateau Margaux,1996,Bordeaux Red Blends,Margaux, Bordeaux, France,799.00,100,97.01996,2.98004,1,0,0,0,1,0
Chateau Margaux,1995,Bordeaux Red Blends,Margaux, Bordeaux, France,599.97,95,95.77385,-0.77385,1,0,0,0,1,0
Chateau Montrose,1995,Bordeaux Red Blends,St. Estephe, Bordeaux, France,83.99,92,92.58719,-0.58719,1,0,0,0,1,0
Chateau Sociando-Mallet (scuffed label),1996,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,85.97,90,92.61633,-2.61633,1,0,0,0,1,0
Antinori Tignanello,1997,Tuscan Blends,Tuscany, Italy,259.97,93,91.43803,1.56197,1,0,0,1,0,0
Chateau Monbousquet,1997,Bordeaux Red Blends,St. Emilion, Bordeaux, France,59.99,92,92.47279,-0.47279,1,0,0,0,1,0
Chateau Lafite Rothschild,1997,Bordeaux Red Blends,Pauillac, Bordeaux, France,849.97,92,97.35165,-5.35165,1,0,0,0,1,0
Les Forts de Latour,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,64.99,90,92.48676,-2.48676,1,0,0,0,1,0
Chateau Haut-Batailley,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,139.97,91,92.94983,-1.94983,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,239.00,96,93.56143,2.43857,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1986,Bordeaux Red Blends,Pauillac, Bordeaux, France,217.49,94,93.25946,0.74054,1,0,0,0,1,0
Chateau Clerc Milon,1997,Bordeaux Red Blends,Pauillac, Bordeaux, France,46.99,89,92.39250,-3.39250,1,0,0,0,1,0
Chateau Grand Mayne,1996,Bordeaux Red Blends,St. Emilion, Bordeaux, France,34.99,89,92.30148,-3.30148,1,0,0,0,1,0
Chateau Cos d'Estournel,1995,Bordeaux Red Blends,St. Estephe, Bordeaux, France,269.97,95,93.73579,1.26421,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,175.00,96,93.14926,2.85074,1,0,0,0,1,0
Chateau Angelus,1996,Bordeaux Red Blends,St. Emilion, Bordeaux, France,379.97,91,94.43205,-3.43205,1,0,0,0,1,0
Chateau Monbousquet,1997,Bordeaux Red Blends,St. Emilion, Bordeaux, France,62.97,92,92.49120,-0.49120,1,0,0,0,1,0
Chateau La Mission Haut-Brion,1996,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,145.99,90,92.98701,-2.98701,1,0,0,0,1,0
Chateau Montrose,1996,Bordeaux Red Blends,St. Estephe, Bordeaux, France,199.97,96,93.32039,2.67961,1,0,0,0,1,0
Chateau Cos d'Estournel,1996,Bordeaux Red Blends,St. Estephe, Bordeaux, France,279.97,93,93.81446,-0.81446,1,0,0,0,1,0
Chateau Sociando-Mallet,1996,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,47.99,90,92.38177,-2.38177,1,0,0,0,1,0
Chateau Certan de May,1995,Bordeaux Red Blends,Pomerol, Bordeaux, France,150.00,90,92.99486,-2.99486,1,0,0,0,1,0
M. Chapoutier Hermitage Monier de la Sizeranne,1995,Syrah/Shiraz,Hermitage, Rhone, France,85.00,92,93.42212,-1.42212,0,1,0,0,1,0
M. Chapoutier Ermitage Le Pavillon,1995,Syrah/Shiraz,Hermitage, Rhone, France,259.00,99,94.49673,4.50327,0,1,0,0,1,0
Chateau Haut-Marbuzet,1995,Bordeaux Red Blends,St. Estephe, Bordeaux, France,42.99,92,92.33397,-0.33397,1,0,0,0,1,0
Chateau Lynch-Bages,1982,Bordeaux Red Blends,Pauillac, Bordeaux, France,499.97,93,94.93639,-1.93639,1,0,0,0,1,0
Chateau La Mission Haut-Brion,1998,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,459.97,98,94.95995,3.04005,1,0,0,0,1,0
Chateau Haut-Brion (scuffed labels),1995,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,599.97,96,95.77385,0.22615,1,0,0,0,1,0
Chateau Trotanoy,1995,Bordeaux Red Blends,Pomerol, Bordeaux, France,209.00,93,93.35924,-0.35924,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,169.97,91,93.13511,-2.13511,1,0,0,0,1,0
Chateau L'Arrosee,1995,Bordeaux Red Blends,St. Emilion, Bordeaux, France,79.99,90,92.56248,-2.56248,1,0,0,0,1,0
Chateau Leoville Las Cases,1994,Bordeaux Red Blends,St. Julien, Bordeaux, France,159.00,93,93.03354,-0.03354,1,0,0,0,1,0
Chateau Leoville Las Cases,1997,Bordeaux Red Blends,St. Julien, Bordeaux, France,159.97,90,93.09026,-3.09026,1,0,0,0,1,0
Chateau Mouton Rothschild,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,629.97,94,95.97604,-1.97604,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1994,Bordeaux Red Blends,Pauillac, Bordeaux, France,125.00,91,92.82355,-1.82355,1,0,0,0,1,0
Chateau Pontet-Canet,1994,Bordeaux Red Blends,Pauillac, Bordeaux, France,99.00,93,92.66298,0.33702,1,0,0,0,1,0
Chateau Phelan Segur,1995,Bordeaux Red Blends,St. Estephe, Bordeaux, France,109.99,92,92.74776,-0.74776,1,0,0,0,1,0
Chateau Beau-Sejour Becot,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,99.97,91,92.73662,-1.73662,1,0,0,0,1,0
Chateau Coufran Haut-Medoc,1998,Bordeaux Red Blends,Medoc, Bordeaux, France,21.99,87,92.25502,-5.25502,1,0,0,0,1,0
Chateau Cos d'Estournel,1985,Bordeaux Red Blends,St. Estephe, Bordeaux, France,189.99,93,93.07272,-0.07272,1,0,0,0,1,0
Chateau d'Armailhac,1997,Bordeaux Red Blends,Pauillac, Bordeaux, France,58.99,87,92.46661,-5.46661,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,59.99,90,92.48970,-2.48970,1,0,0,0,1,0
Chateau Haut-Batailley,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,7.99,91,92.11781,-1.11781,1,0,0,0,1,0
Chateau Lafite Rothschild,1981,Bordeaux Red Blends,Pauillac, Bordeaux, France,343.99,91,93.95616,-2.95616,1,0,0,0,1,0
Chateau Lafite Rothschild,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,749.00,95,96.69424,-1.69424,1,0,0,0,1,0
Chateau Pontet-Canet,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,129.97,92,92.88808,-0.88808,1,0,0,0,1,0
Chateau Latour,1988,Bordeaux Red Blends,Pauillac, Bordeaux, France,612.97,91,95.73575,-4.73575,1,0,0,0,1,0
Les Forts de Latour,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,74.49,90,92.54543,-2.54543,1,0,0,0,1,0
Chateau Ducru-Beaucaillou,1995,Bordeaux Red Blends,St. Julien, Bordeaux, France,209.97,94,93.36523,0.63477,1,0,0,0,1,0
Chateau Leoville Las Cases,1996,Bordeaux Red Blends,St. Julien, Bordeaux, France,299.97,98,93.93798,4.06202,1,0,0,0,1,0
Chateau Margaux,1997,Bordeaux Red Blends,Margaux, Bordeaux, France,499.97,90,95.19008,-5.19008,1,0,0,0,1,0
