vintage,count(*)
2018,2
2017,441
2016,1965
2015,3390
2014,3790
2013,3897
2012,3757
2011,2540
2010,2900
2009,2630
2008,2095
2007,2344
2006,2034
2005,1950
2004,1451
2003,1100
2002,896
2001,1311
2000,1246
1999,1427
1998,1117
1997,933
1996,564
1995,372
1994,168
1993,92
1992,46
1991,49
1990,83
1989,61
1988,27
1987,19
1986,47
1985,37
1984,18
1983,27
1982,33
1981,12
1980,6
1979,12
1978,8
1977,4
1976,3
1975,3
1971,1
1970,5
1969,1
1968,2
1967,1
1966,3
1964,2
1959,1
1953,1
