varietal,location,count(*)
"Cabernet Sauvignon","Tuscany, Italy",75
Syrah/Shiraz,"Clare Valley, Australia",74
Syrah/Shiraz,"Santa Barbara, Central Coast, California",73
Syrah/Shiraz,"Russian River, Sonoma County, California",72
"Rhone Red Blends","McLaren Vale, Australia",71
"Other Red Blends",Argentina,71
Grenache,"McLaren Vale, Australia",69
"Cabernet Sauvignon","Mt. Veeder, Napa Valley, California",69
"Cabernet Sauvignon","Diamond Mountain District, Napa Valley, California",68
"Cabernet Sauvignon","Paso Robles, Central Coast, California",67
Merlot,Chile,67
"Bordeaux Red Blends","Fronsac, Bordeaux, France",66
"Pinot Noir","Ribbon Ridge, Willamette Valley, Oregon",65
Mourvedre,Spain,65
Dolcetto,"Alba, Piedmont, Italy",65
"Cabernet Sauvignon","Margaret River, Australia",65
"Cabernet Sauvignon","Coonawarra, Limestone Coast, Australia",65
Syrah/Shiraz,Chile,64
"Other Red Wine","Priorat, Spain",63
"Pinot Noir","Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France",62
"Pinot Noir","Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",62
"Other Red Blends","South Africa",62
Zinfandel,"Dry Creek Valley, Sonoma County, California",62
"Other Red Blends",Chile,62
"Cabernet Sauvignon","North Coast, California",62
"Pinot Noir","Volnay, Cote de Beaune, Cote d'Or, Burgundy, France",61
Zinfandel,"Central Coast, California",61
Syrah/Shiraz,"Saint-Joseph, Rhone, France",61
"Pinot Noir","North Coast, California",60
Syrah/Shiraz,"Sonoma County, California",60
"Bordeaux Red Blends","Santa Cruz Mountains, California",58
"Bordeaux Red Blends","Cotes de Castillon, Bordeaux, France",57
"Other Red Blends","Languedoc-Roussillon, France",56
Montepulciano,"Abruzzo, Italy",56
Zinfandel,"Paso Robles, Central Coast, California",55
"Pinot Noir","Vosne-Romanee, Cote de Nuits, Cote d'Or, Burgundy, France",55
Zinfandel,"Lodi, California",55
Aglianico,Italy,54
Grenache,"Barossa Valley, Barossa, Australia",53
"Pinot Noir","Martinborough, New Zealand",52
Syrah/Shiraz,"Crozes-Hermitage, Rhone, France",52
"Bordeaux Red Blends","Yakima Valley, Columbia Valley, Washington",52
"Pinot Noir","Petaluma Gap, Sonoma Coast, Sonoma County, California",51
Zinfandel,"Sierra Foothills, California",51
"Pinot Noir","Cote de Nuits, Cote d'Or, Burgundy, France",51
Tempranillo,"Toro, Spain",51
"Other Red Wine","Sicily, Italy",50
Carmenere,"Colchagua Valley, Rapel Valley, Chile",49
"Other Red Blends","Ribera del Duero, Spain",48
"Other Red Blends","Central Coast, California",48
"Cabernet Sauvignon","Yountville, Napa Valley, California",47
Syrah/Shiraz,"Paso Robles, Central Coast, California",47
Merlot,"Walla Walla Valley, Columbia Valley, Washington",45
"Cabernet Sauvignon","Central Coast, California",44
"Pinot Noir","Santa Barbara, Central Coast, California",44
Zinfandel,"Amador, Sierra Foothills, California",44
Merlot,California,44
"Cabernet Sauvignon","Colchagua Valley, Rapel Valley, Chile",44
"Pinot Noir","New Zealand",44
"Pinot Noir","Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",44
Mencia,Spain,43
"Pinot Noir","Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France",43
"Other Red Blends","Mendoza, Argentina",43
"Cabernet Sauvignon","Barossa Valley, Barossa, Australia",43
"Cabernet Franc","Chinon, Touraine, Loire, France",42
"Pinot Noir","Yarra Valley, Australia",42
"Pinot Noir",Oregon,42
"Pinot Noir","Mt. Harlan, Central Coast, California",40
"Pinot Noir","Napa Valley, California",40
Pinotage,"South Africa",40
Syrah/Shiraz,"Santa Ynez Valley, Santa Barbara, Central Coast, California",38
Zinfandel,"North Coast, California",38
"Rhone Red Blends",Australia,37
"Pinot Noir","Cote de Beaune, Cote d'Or, Burgundy, France",37
"Other Red Blends","Douro, Portugal",37
"Pinot Noir","Pommard, Cote de Beaune, Cote d'Or, Burgundy, France",36
"Pinot Noir","Monterey, Central Coast, California",36
Syrah/Shiraz,"Sonoma Coast, Sonoma County, California",36
"Cabernet Sauvignon","Santa Cruz Mountains, California",36
"Bordeaux Red Blends","Red Mountain, Yakima Valley, Columbia Valley, Washington",36
Syrah/Shiraz,"Barossa, Australia",35
"Rhone Red Blends","Cotes du Rhone Villages, Rhone, France",35
"Cabernet Sauvignon","Knights Valley, Sonoma County, California",34
"Bordeaux Red Blends","Spring Mountain District, Napa Valley, California",34
"Pinot Noir","Flagey-Echezeaux, Cote de Nuits, Cote d'Or, Burgundy, France",34
Syrah/Shiraz,"Yakima Valley, Columbia Valley, Washington",34
Aglianico,"Campania, Italy",34
"Cabernet Franc","Napa Valley, California",33
"Bordeaux Red Blends","Central Coast, California",33
"Cabernet Sauvignon","Sonoma Valley, Sonoma County, California",33
Syrah/Shiraz,"Tuscany, Italy",33
"Other Red Blends","McLaren Vale, Australia",33
"Other Red Blends","Jumilla, Spain",33
"Pinot Noir","Green Valley, Russian River Valley, Sonoma County, California",32
Sangiovese,Italy,32
"Bordeaux Red Blends","Paso Robles, Central Coast, California",32
"Pinot Noir","Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",32
Merlot,"Central Coast, California",31
Merlot,Italy,31
Nebbiolo,"Alba, Piedmont, Italy",30
"Touriga Nacional",Portugal,30
Grenache,"Walla Walla Valley, Columbia Valley, Washington",30
Syrah/Shiraz,"Coonawarra, Limestone Coast, Australia",30
"Bordeaux Red Blends","Knights Valley, Sonoma County, California",30
"Other Red Blends","Sardinia, Italy",30
Mencia,"Bierzo, Spain",30
Merlot,"North Coast, California",29
"Rhone Red Blends",Spain,29
"Pinot Noir",Australia,29
Sangiovese,"Montepulciano, Tuscany, Italy",28
"Other Red Blends","Walla Walla Valley, Columbia Valley, Washington",28
"Petite Sirah",California,28
Zinfandel,"Sonoma Valley, Sonoma County, California",28
Zinfandel,"Howell Mountain, Napa Valley, California",27
Dolcetto,"Piedmont, Italy",27
Zinfandel,"Alexander Valley, Sonoma County, California",27
"Other Red Wine",Spain,27
"Other Red Wine","Valpolicella, Veneto, Italy",27
Corvina,"Veneto, Italy",26
"Bordeaux Red Blends",Australia,26
Merlot,Australia,26
Syrah/Shiraz,"Santa Maria Valley, Central Coast, California",26
"Rhone Red Blends","South Africa",26
"Bordeaux Red Blends",California,26
"Other Red Blends","Colchagua Valley, Rapel Valley, Chile",25
"Pinot Noir","Fort Ross-Seaview, Sonoma Coast, Sonoma County, California",25
"Cabernet Sauvignon",Spain,25
Negroamaro,Italy,25
"Cabernet Sauvignon","Atlas Peak, Napa Valley, California",25
"Cabernet Sauvignon","Yakima Valley, Columbia Valley, Washington",24
"Cabernet Franc","Tuscany, Italy",24
Primitivo,Italy,24
"Bordeaux Red Blends","Hawkes Bay, New Zealand",24
"Other Red Wine","Umbria, Italy",24
Malbec,"Salta, Argentina",23
Malbec,"Cahors, Southwest, France",23
Syrah/Shiraz,"Sta. Rita Hills, Santa Barbara, Central Coast, California",23
Grenache,"Central Coast, California",23
Mourvedre,"Jumilla, Spain",23
Syrah/Shiraz,"Hawkes Bay, New Zealand",23
"Bordeaux Red Blends","Maipo Valley, Chile",23
Grenache,California,23
"Cabernet Franc","Sonoma County, California",22
"Cabernet Sauvignon","Coombsville, Napa Valley, California",22
"Rhone Red Blends","Lirac, Rhone, France",22
"Pinot Noir","Edna Valley, Central Coast, California",22
"Cabernet Sauvignon","Uco Valley, Mendoza, Argentina",22
"Pinot Noir","Chehalem Mountains, Willamette Valley, Oregon",22
Zinfandel,"Mendocino, California",22
"Cabernet Sauvignon","Red Mountain, Yakima Valley, Columbia Valley, Washington",22
"Pinot Noir","Savigny-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",22
"Bordeaux Red Blends","Coonawarra, Limestone Coast, Australia",22
Merlot,"Carneros, California",21
"Other Red Blends","Coonawarra, Limestone Coast, Australia",21
"Rhone Red Blends","Cotes du Ventoux, Rhone, France",21
"Other Red Blends","Piedmont, Italy",21
Merlot,"South Africa",20
"Bordeaux Red Blends","Alexander Valley, Sonoma County, California",20
Barbera,"Piedmont, Italy",20
Syrah/Shiraz,Spain,20
"Bordeaux Red Blends","Rutherford, Napa Valley, California",20
Grenache,"Languedoc-Roussillon, France",20
"Rhone Red Blends","Rasteau, Rhone, France",20
"Cabernet Sauvignon",Israel,20
"Cabernet Sauvignon","Dry Creek Valley, Sonoma County, California",20
Syrah/Shiraz,"Santa Lucia Highlands, Monterey, Central Coast, California",20
Syrah/Shiraz,Washington,20
"Other Red Blends","Umbria, Italy",20
"Bordeaux Red Blends","North Coast, California",20
"Petite Sirah","North Coast, California",19
"Pinot Noir","Casablanca Valley, Chile",19
Syrah/Shiraz,"Margaret River, Australia",19
"Pinot Noir",Chile,19
"Rhone Red Blends","Santa Barbara, Central Coast, California",19
Sangiovese,"Napa Valley, California",19
"Other Red Blends","Bolgheri, Tuscany, Italy",19
Syrah/Shiraz,"Edna Valley, Central Coast, California",19
"Bordeaux Red Blends","Stellenbosch, South Africa",19
"Other Red Blends",France,18
"Rhone Red Blends","Columbia Valley, Washington",18
Bonarda,Argentina,18
"Other Red Blends",Israel,18
"Pinot Noir","South Africa",18
