id,name,vintage,price,RP,url,varietal,location,bordeauxBlends,syrah,pinot,italy,france,australia
819,"Louis Jadot Le Chambertin",1996,132.99,90,https://www.wine.com/product/louis-jadot-le-chambertin-1996/819,"Pinot Noir","Burgundy, France",0,0,1,0,1,0
827,"Louis Jadot Pommard Grands Epenot",1996,66.99,88,https://www.wine.com/product/louis-jadot-pommard-grands-epenot-1996/827,"Pinot Noir","Burgundy, France",0,0,1,0,1,0
1505,"Chateau Mouton Rothschild",1986,469,100,https://www.wine.com/product/chateau-mouton-rothschild-1986/1505,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
1506,"Chateau Latour",1990,918.97,95,https://www.wine.com/product/chateau-latour-1990/1506,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
5401,"Guigal Hermitage (half-bottle)",1995,24.99,90,https://www.wine.com/product/guigal-hermitage-half-bottle-1995/5401,Syrah/Shiraz,"Hermitage, Rhone, France",0,1,0,0,1,0
5404,"Guigal Hermitage",1995,42.49,90,https://www.wine.com/product/guigal-hermitage-1995/5404,Syrah/Shiraz,"Hermitage, Rhone, France",0,1,0,0,1,0
5605,"Chateau Mouton Rothschild",1985,599.97,90,https://www.wine.com/product/chateau-mouton-rothschild-1985/5605,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6209,"Chateau Meyney",1995,69.97,89,https://www.wine.com/product/chateau-meyney-1995/6209,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
6233,"Chateau Pichon-Longueville Baron",1989,279.97,95,https://www.wine.com/product/chateau-pichon-longueville-baron-1989/6233,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6253,"Chateau Lafite Rothschild",1982,799,100,https://www.wine.com/product/chateau-lafite-rothschild-1982/6253,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6254,"Chateau Lafite Rothschild",1983,499,93,https://www.wine.com/product/chateau-lafite-rothschild-1983/6254,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6257,"Chateau Lafite Rothschild",1988,899.97,94,https://www.wine.com/product/chateau-lafite-rothschild-1988/6257,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6258,"Chateau Lafite Rothschild",1989,899.97,90,https://www.wine.com/product/chateau-lafite-rothschild-1989/6258,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6262,"Chateau Margaux",1983,499.99,96,https://www.wine.com/product/chateau-margaux-1983/6262,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
6263,"Chateau Margaux",1986,849.97,98,https://www.wine.com/product/chateau-margaux-1986/6263,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
6270,"Chateau Haut-Brion",2000,879.97,99,https://www.wine.com/product/chateau-haut-brion-2000/6270,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
6271,"Chateau Mouton Rothschild",1983,669.97,91,https://www.wine.com/product/chateau-mouton-rothschild-1983/6271,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6273,"Chateau Mouton Rothschild",1989,389,93,https://www.wine.com/product/chateau-mouton-rothschild-1989/6273,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6279,"Chateau Trotanoy",1982,316.49,96,https://www.wine.com/product/chateau-trotanoy-1982/6279,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
6281,"Chateau Trotanoy",1989,168.99,90,https://www.wine.com/product/chateau-trotanoy-1989/6281,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
6283,"Chateau La Mission Haut-Brion",1983,126.49,90,https://www.wine.com/product/chateau-la-mission-haut-brion-1983/6283,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
6284,"Chateau La Mission Haut-Brion",1988,274.99,90,https://www.wine.com/product/chateau-la-mission-haut-brion-1988/6284,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
6289,"Chateau Gruaud Larose",1986,199,96,https://www.wine.com/product/chateau-gruaud-larose-1986/6289,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6298,"Chateau Ducru-Beaucaillou (stained label)",1982,399.97,96,https://www.wine.com/product/chateau-ducru-beaucaillou-stained-label-1982/6298,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6301,"Chateau Ducru-Beaucaillou",1986,209,90,https://www.wine.com/product/chateau-ducru-beaucaillou-1986/6301,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6305,"Chateau La Conseillante",1989,399.97,96,https://www.wine.com/product/chateau-la-conseillante-1989/6305,"Bordeaux Red Blends","Pomerol, Bordeaux, France",1,0,0,0,1,0
6307,"Chateau Leoville Las Cases",1989,309.97,91,https://www.wine.com/product/chateau-leoville-las-cases-1989/6307,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6311,"Chateau Montrose",1989,469.97,100,https://www.wine.com/product/chateau-montrose-1989/6311,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
6313,"Chateau Pichon Longueville Comtesse de Lalande",1989,249.97,93,https://www.wine.com/product/chateau-pichon-longueville-comtesse-de-lalande-1989/6313,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6345,"Chateau Leoville Poyferre",1982,216.99,93,https://www.wine.com/product/chateau-leoville-poyferre-1982/6345,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6369,"Chateau Leoville Barton",1990,211.99,92,https://www.wine.com/product/chateau-leoville-barton-1990/6369,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6371,"Chateau Leoville Barton",1996,259.97,93,https://www.wine.com/product/chateau-leoville-barton-1996/6371,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6374,"Chateau Latour",1996,849.97,99,https://www.wine.com/product/chateau-latour-1996/6374,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6375,"Chateau Cos d'Estournel",1990,229.97,94,https://www.wine.com/product/chateau-cos-destournel-1990/6375,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
